,date,countryEnglishName,provinceEnglishName,province_confirmedCount,E,R,I,Days
0,2022/1/1,China,Beijing,1211,164,1199,12,1
1,2022/1/2,China,Beijing,1211,164,1200,11,2
2,2022/1/3,China,Beijing,1215,164,1202,13,3
3,2022/1/4,China,Beijing,1215,164,1203,12,4
4,2022/1/5,China,Beijing,1216,164,1204,12,5
5,2022/1/6,China,Beijing,1216,164,1204,12,6
6,2022/1/7,China,Beijing,1217,164,1205,12,7
7,2022/1/8,China,Beijing,1217,164,1206,11,8
8,2022/1/9,China,Beijing,1218,164,1208,10,9
9,2022/1/10,China,Beijing,1218,164,1208,10,10
10,2022/1/11,China,Beijing,1219,164,1208,11,11
11,2022/1/12,China,Beijing,1221,164,1208,13,12
12,2022/1/13,China,Beijing,1222,164,1209,13,13
13,2022/1/14,China,Beijing,1223,164,1211,12,14
14,2022/1/15,China,Beijing,1223,164,1211,12,15
15,2022/1/16,China,Beijing,1225,164,1211,14,16
16,2022/1/17,China,Beijing,1226,164,1211,15,17
17,2022/1/18,China,Beijing,1231,164,1212,19,18
18,2022/1/19,China,Beijing,1236,164,1212,24,19
19,2022/1/20,China,Beijing,1241,164,1212,29,20
20,2022/1/21,China,Beijing,1254,164,1213,41,21
21,2022/1/22,China,Beijing,1264,164,1213,51,22
22,2022/1/23,China,Beijing,1267,164,1215,52,23
23,2022/1/24,China,Beijing,1274,164,1218,56,24
24,2022/1/25,China,Beijing,1282,164,1218,64,25
25,2022/1/26,China,Beijing,1298,164,1218,80,26
26,2022/1/27,China,Beijing,1298,164,1218,80,27
27,2022/1/28,China,Beijing,1298,164,1218,80,28
28,2022/1/29,China,Beijing,1298,164,1218,80,29
29,2022/1/30,China,Beijing,1298,164,1218,80,30
30,2022/1/31,China,Beijing,1298,164,1218,80,31
31,2022/2/1,China,Beijing,1298,164,1218,80,32
32,2022/2/2,China,Beijing,1298,164,1218,80,33
33,2022/2/3,China,Beijing,1355,164,1247,108,34
34,2022/2/4,China,Beijing,1357,164,1250,107,35
35,2022/2/5,China,Beijing,1358,164,1253,105,36
36,2022/2/6,China,Beijing,1359,164,1255,104,37
37,2022/2/7,China,Beijing,1363,164,1257,106,38
38,2022/2/8,China,Beijing,1364,164,1261,103,39
39,2022/2/9,China,Beijing,1365,164,1269,96,40
40,2022/2/10,China,Beijing,1365,164,1274,91,41
41,2022/2/11,China,Beijing,1365,164,1286,79,42
42,2022/2/12,China,Beijing,1365,164,1295,70,43
43,2022/2/13,China,Beijing,1367,164,1307,60,44
44,2022/2/14,China,Beijing,1367,164,1320,47,45
45,2022/2/15,China,Beijing,1368,164,1329,39,46
46,2022/2/16,China,Beijing,1368,164,1336,32,47
47,2022/2/17,China,Beijing,1368,164,1343,25,48
48,2022/2/18,China,Beijing,1368,164,1345,23,49
49,2022/2/19,China,Beijing,1372,164,1347,25,50
50,2022/2/20,China,Beijing,1378,164,1350,28,51
51,2022/2/21,China,Beijing,1387,164,1352,35,52
52,2022/2/22,China,Beijing,1399,164,1354,45,53
53,2022/2/23,China,Beijing,1413,164,1357,56,54
54,2022/2/24,China,Beijing,1422,164,1357,65,55
55,2022/2/25,China,Beijing,1432,164,1358,74,56
56,2022/2/26,China,Beijing,1437,164,1362,75,57
57,2022/2/27,China,Beijing,1447,164,1366,81,58
58,2022/2/28,China,Beijing,1467,164,1366,101,59
59,2022/3/1,China,Beijing,1479,164,1370,109,60
60,2022/3/2,China,Beijing,1484,164,1371,113,61
61,2022/3/3,China,Beijing,1495,164,1374,121,62
62,2022/3/4,China,Beijing,1504,164,1379,125,63
63,2022/3/5,China,Beijing,1513,164,1384,129,64
64,2022/3/6,China,Beijing,1526,164,1388,138,65
65,2022/3/7,China,Beijing,1532,164,1392,140,66
66,2022/3/8,China,Beijing,1554,164,1397,157,67
67,2022/3/9,China,Beijing,1565,164,1403,162,68
68,2022/3/10,China,Beijing,1583,164,1414,169,69
69,2022/3/11,China,Beijing,1603,164,1423,180,70
70,2022/3/12,China,Beijing,1609,164,1431,178,71
71,2022/3/13,China,Beijing,1627,164,1439,188,72
72,2022/3/14,China,Beijing,1636,164,1444,192,73
73,2022/3/15,China,Beijing,1651,164,1460,191,74
74,2022/3/16,China,Beijing,1667,164,1472,195,75
75,2022/3/17,China,Beijing,1675,164,1477,198,76
76,2022/3/18,China,Beijing,1689,164,1487,202,77
77,2022/3/19,China,Beijing,1700,164,1505,195,78
78,2022/3/20,China,Beijing,1715,164,1520,195,79
79,2022/3/21,China,Beijing,1723,164,1536,187,80
80,2022/3/22,China,Beijing,1733,164,1544,189,81
81,2022/3/23,China,Beijing,1738,164,1552,186,82
82,2022/3/24,China,Beijing,1742,164,1576,166,83
