date,COMED_MW,hour
2011/1/1,9631,1
2011/1/1,9273,2
2011/1/1,9011,3
2011/1/1,8741,4
2011/1/1,8694,5
2011/1/1,8711,6
2011/1/1,8943,7
2011/1/1,9222,8
2011/1/1,9430,9
2011/1/1,9670,10
2011/1/1,10125,11
2011/1/1,10538,12
2011/1/1,10782,13
2011/1/1,10861,14
2011/1/1,10784,15
2011/1/1,10928,16
2011/1/1,11133,17
2011/1/1,11924,18
2011/1/1,12665,19
2011/1/1,12701,20
2011/1/1,12630,21
2011/1/1,12513,22
2011/1/1,12252,23
2011/1/2,11778,0
2011/1/2,11199,1
2011/1/2,10682,2
2011/1/2,10376,3
2011/1/2,10247,4
2011/1/2,10161,5
2011/1/2,10220,6
2011/1/2,10346,7
2011/1/2,10651,8
2011/1/2,10710,9
2011/1/2,10834,10
2011/1/2,10945,11
2011/1/2,11078,12
2011/1/2,11127,13
2011/1/2,11141,14
2011/1/2,11057,15
2011/1/2,10973,16
2011/1/2,11074,17
2011/1/2,11929,18
2011/1/2,12841,19
2011/1/2,12956,20
2011/1/2,12849,21
2011/1/2,12689,22
2011/1/2,12274,23
2011/1/3,11662,0
2011/1/3,10897,1
2011/1/3,10494,2
2011/1/3,10279,3
2011/1/3,10165,4
2011/1/3,10199,5
2011/1/3,10440,6
2011/1/3,11096,7
2011/1/3,12125,8
2011/1/3,12687,9
2011/1/3,12682,10
2011/1/3,12707,11
2011/1/3,12662,12
2011/1/3,12573,13
2011/1/3,12514,14
2011/1/3,12463,15
2011/1/3,12500,16
2011/1/3,12594,17
2011/1/3,13206,18
2011/1/3,13873,19
2011/1/3,13712,20
2011/1/3,13505,21
2011/1/3,13175,22
2011/1/3,12613,23
2011/1/4,11763,0
2011/1/4,10941,1
2011/1/4,10426,2
2011/1/4,10171,3
2011/1/4,10044,4
2011/1/4,10065,5
2011/1/4,10370,6
2011/1/4,11063,7
2011/1/4,12341,8
2011/1/4,13040,9
2011/1/4,13114,10
2011/1/4,13194,11
2011/1/4,13257,12
2011/1/4,13223,13
2011/1/4,13173,14
2011/1/4,13144,15
2011/1/4,13049,16
2011/1/4,13070,17
2011/1/4,13705,18
