Datetime,COMED_MW
2011/1/1 1:00,9631
2011/1/1 2:00,9273
2011/1/1 3:00,9011
2011/1/1 4:00,8741
2011/1/1 5:00,8694
2011/1/1 6:00,8711
2011/1/1 7:00,8943
2011/1/1 8:00,9222
2011/1/1 9:00,9430
2011/1/1 10:00,9670
2011/1/1 11:00,10125
2011/1/1 12:00,10538
2011/1/1 13:00,10782
2011/1/1 14:00,10861
2011/1/1 15:00,10784
2011/1/1 16:00,10928
2011/1/1 17:00,11133
2011/1/1 18:00,11924
2011/1/1 19:00,12665
2011/1/1 20:00,12701
2011/1/1 21:00,12630
2011/1/1 22:00,12513
2011/1/1 23:00,12252
2011/1/2 0:00,11778
2011/1/2 1:00,11199
2011/1/2 2:00,10682
2011/1/2 3:00,10376
2011/1/2 4:00,10247
2011/1/2 5:00,10161
2011/1/2 6:00,10220
2011/1/2 7:00,10346
2011/1/2 8:00,10651
2011/1/2 9:00,10710
2011/1/2 10:00,10834
2011/1/2 11:00,10945
2011/1/2 12:00,11078
2011/1/2 13:00,11127
2011/1/2 14:00,11141
2011/1/2 15:00,11057
2011/1/2 16:00,10973
2011/1/2 17:00,11074
2011/1/2 18:00,11929
2011/1/2 19:00,12841
2011/1/2 20:00,12956
2011/1/2 21:00,12849
2011/1/2 22:00,12689
2011/1/2 23:00,12274
2011/1/3 0:00,11662
2011/1/3 1:00,10897
2011/1/3 2:00,10494
2011/1/3 3:00,10279
2011/1/3 4:00,10165
2011/1/3 5:00,10199
2011/1/3 6:00,10440
2011/1/3 7:00,11096
2011/1/3 8:00,12125
2011/1/3 9:00,12687
2011/1/3 10:00,12682
2011/1/3 11:00,12707
2011/1/3 12:00,12662
2011/1/3 13:00,12573
2011/1/3 14:00,12514
2011/1/3 15:00,12463
2011/1/3 16:00,12500
2011/1/3 17:00,12594
2011/1/3 18:00,13206
2011/1/3 19:00,13873
2011/1/3 20:00,13712
2011/1/3 21:00,13505
2011/1/3 22:00,13175
2011/1/3 23:00,12613
2011/1/4 0:00,11763
2011/1/4 1:00,10941
2011/1/4 2:00,10426
2011/1/4 3:00,10171
2011/1/4 4:00,10044
2011/1/4 5:00,10065
2011/1/4 6:00,10370
2011/1/4 7:00,11063
2011/1/4 8:00,12341
2011/1/4 9:00,13040
2011/1/4 10:00,13114
2011/1/4 11:00,13194
2011/1/4 12:00,13257
2011/1/4 13:00,13223
2011/1/4 14:00,13173
2011/1/4 15:00,13144
2011/1/4 16:00,13049
2011/1/4 17:00,13070
2011/1/4 18:00,13705
2011/1/4 19:00,14527
2011/1/4 20:00,14466
2011/1/4 21:00,14312
2011/1/4 22:00,14038
2011/1/4 23:00,13498
2011/1/5 0:00,12600
2011/1/5 1:00,11829
2011/1/5 2:00,11324
2011/1/5 3:00,11062
2011/1/5 4:00,10908
2011/1/5 5:00,10930
2011/1/5 6:00,11194
2011/1/5 7:00,11868
2011/1/5 8:00,13012
2011/1/5 9:00,13580
2011/1/5 10:00,13579
2011/1/5 11:00,13561
2011/1/5 12:00,13584
2011/1/5 13:00,13530
2011/1/5 14:00,13442
2011/1/5 15:00,13374
2011/1/5 16:00,13244
2011/1/5 17:00,13265
2011/1/5 18:00,13826
2011/1/5 19:00,14335
2011/1/5 20:00,14122
2011/1/5 21:00,13861
2011/1/5 22:00,13526
2011/1/5 23:00,12968
2011/1/6 0:00,12062
2011/1/6 1:00,11268
2011/1/6 2:00,10736
2011/1/6 3:00,10418
2011/1/6 4:00,10252
2011/1/6 5:00,10254
2011/1/6 6:00,10522
2011/1/6 7:00,11221
2011/1/6 8:00,12410
2011/1/6 9:00,13236
2011/1/6 10:00,13349
2011/1/6 11:00,13440
2011/1/6 12:00,13426
2011/1/6 13:00,13377
2011/1/6 14:00,13247
2011/1/6 15:00,13112
2011/1/6 16:00,12965
2011/1/6 17:00,12993
2011/1/6 18:00,13607
2011/1/6 19:00,14420
2011/1/6 20:00,14296
2011/1/6 21:00,14099
2011/1/6 22:00,13771
2011/1/6 23:00,13253
2011/1/7 0:00,12388
2011/1/7 1:00,11582
2011/1/7 2:00,11132
2011/1/7 3:00,10833
2011/1/7 4:00,10653
2011/1/7 5:00,10652
2011/1/7 6:00,10913
2011/1/7 7:00,11538
2011/1/7 8:00,12665
2011/1/7 9:00,13414
2011/1/7 10:00,13499
