,date,countryCode,province,province_confirmedCount,E,R,Days,I
640877,2020-06-30,China,Guangdong,1641,11,1635,160,6
641962,2020-06-29,China,Guangdong,1637,11,1633,159,4
644313,2020-06-27,China,Guangdong,1637,11,1630,157,7
646365,2020-06-25,China,Guangdong,1635,11,1629,155,6
647248,2020-06-24,China,Guangdong,1634,11,1628,154,6
648246,2020-06-23,China,Guangdong,1634,11,1627,153,7
650649,2020-06-21,China,Guangdong,1634,11,1622,151,12
651537,2020-06-20,China,Guangdong,1634,11,1621,150,13
652196,2020-06-19,China,Guangdong,1631,11,1612,149,19
653094,2020-06-18,China,Guangdong,1628,11,1611,148,17
653989,2020-06-17,China,Guangdong,1628,11,1601,147,27
654981,2020-06-16,China,Guangdong,1628,11,1600,146,28
657272,2020-06-14,China,Guangdong,1625,11,1598,144,27
658322,2020-06-13,China,Guangdong,1608,11,1598,143,10
659171,2020-06-12,China,Guangdong,1607,11,1597,142,10
660377,2020-06-11,China,Guangdong,1607,11,1596,141,11
661504,2020-06-10,China,Guangdong,1604,11,1595,140,9
662488,2020-06-09,China,Guangdong,1604,11,1594,139,10
663317,2020-06-08,China,Guangdong,1602,11,1593,138,9
664543,2020-06-07,China,Guangdong,1602,11,1592,137,10
665507,2020-06-06,China,Guangdong,1601,11,1592,136,9
666563,2020-06-05,China,Guangdong,1598,11,1592,135,6
667759,2020-06-04,China,Guangdong,1598,11,1591,134,7
668642,2020-06-03,China,Guangdong,1597,11,1591,133,6
669876,2020-06-02,China,Guangdong,1596,11,1591,132,5
671121,2020-06-01,China,Guangdong,1595,11,1591,131,4
673109,2020-05-30,China,Guangdong,1593,11,1591,129,2
675375,2020-05-28,China,Guangdong,1592,11,1590,127,2
678524,2020-05-25,China,Guangdong,1592,11,1589,124,3
679595,2020-05-24,China,Guangdong,1592,11,1588,123,4
681652,2020-05-22,China,Guangdong,1591,11,1588,121,3
685111,2020-05-17,China,Guangdong,1590,11,1587,116,3
688121,2020-05-14,China,Guangdong,1589,11,1587,113,2
690246,2020-05-12,China,Guangdong,1589,11,1586,111,3
691322,2020-05-11,China,Guangdong,1589,11,1585,110,4
693397,2020-05-09,China,Guangdong,1589,11,1584,108,5
694841,2020-05-07,China,Guangdong,1589,11,1583,106,6
695541,2020-05-06,China,Guangdong,1588,11,1588,105,0
696911,2020-05-05,China,Guangdong,1588,11,1579,104,9
697676,2020-05-04,China,Guangdong,1588,11,1577,103,11
699171,2020-05-02,China,Guangdong,1588,11,1575,101,13
700189,2020-05-01,China,Guangdong,1588,11,1573,100,15
701435,2020-04-30,China,Guangdong,1588,11,1565,99,23
702801,2020-04-29,China,Guangdong,1588,11,1562,98,26
704552,2020-04-28,China,Guangdong,1587,11,1555,97,32
705608,2020-04-27,China,Guangdong,1587,11,1550,96,37
706705,2020-04-26,China,Guangdong,1586,11,1550,95,36
708489,2020-04-25,China,Guangdong,1585,11,1542,94,43
709883,2020-04-24,China,Guangdong,1585,11,1536,93,49
711259,2020-04-23,China,Guangdong,1584,11,1526,92,58
712752,2020-04-22,China,Guangdong,1582,11,1519,91,63
714251,2020-04-21,China,Guangdong,1582,11,1509,90,73
715463,2020-04-20,China,Guangdong,1581,11,1502,89,79
716728,2020-04-19,China,Guangdong,1580,11,1498,88,82
717783,2020-04-18,China,Guangdong,1579,11,1490,87,89
719741,2020-04-17,China,Guangdong,1577,11,1483,86,94
721010,2020-04-16,China,Guangdong,1571,11,1479,85,92
722283,2020-04-15,China,Guangdong,1566,11,1470,84,96
723287,2020-04-14,China,Guangdong,1564,11,1466,83,98
724986,2020-04-13,China,Guangdong,1555,11,1462,82,93
726658,2020-04-12,China,Guangdong,1552,11,1451,81,101
728199,2020-04-11,China,Guangdong,1548,11,1445,80,103
729431,2020-04-10,China,Guangdong,1544,11,1442,79,102
731211,2020-04-09,China,Guangdong,1539,11,1431,78,108
732844,2020-04-08,China,Guangdong,1536,11,1419,77,117
734704,2020-04-07,China,Guangdong,1533,11,1409,76,124
736410,2020-04-06,China,Guangdong,1532,11,1403,75,129
738698,2020-04-05,China,Guangdong,1524,11,1395,74,129
740049,2020-04-04,China,Guangdong,1516,11,1386,73,130
741470,2020-04-03,China,Guangdong,1514,10,1376,72,138
743985,2020-04-02,China,Guangdong,1507,10,1373,71,134
745254,2020-04-01,China,Guangdong,1501,10,1365,70,136
747308,2020-03-31,China,Guangdong,1494,10,1364,69,130
750111,2020-03-30,China,Guangdong,1484,10,1359,68,125
752791,2020-03-29,China,Guangdong,1475,10,1357,67,118
754836,2020-03-28,China,Guangdong,1467,5,1349,66,118
756556,2020-03-27,China,Guangdong,1456,5,1345,65,111
758763,2020-03-26,China,Guangdong,1448,5,1344,64,104
762747,2020-03-25,China,Guangdong,1433,5,1344,63,89
766595,2020-03-24,China,Guangdong,1428,0,1341,62,87
767767,2020-03-23,China,Guangdong,1415,0,1340,61,75
770973,2020-03-22,China,Guangdong,1407,0,1337,60,70
771360,2020-03-21,China,Guangdong,1400,0,1333,59,67
772463,2020-03-20,China,Guangdong,1395,0,1331,58,64
774554,2020-03-19,China,Guangdong,1378,0,1326,57,52
775596,2020-03-18,China,Guangdong,1370,0,1321,56,49
778290,2020-03-17,China,Guangdong,1364,0,1315,55,49
780114,2020-03-16,China,Guangdong,1361,0,1314,54,47
780679,2020-03-15,China,Guangdong,1360,0,1312,53,48
782496,2020-03-14,China,Guangdong,1356,0,1307,52,49
782811,2020-03-13,China,Guangdong,1356,0,1304,51,52
784041,2020-03-12,China,Guangdong,1356,0,1297,50,59
784807,2020-03-11,China,Guangdong,1356,0,1290,49,66
785905,2020-03-10,China,Guangdong,1353,0,1282,48,71
787075,2020-03-09,China,Guangdong,1352,0,1268,47,84
787674,2020-03-08,China,Guangdong,1352,0,1263,46,89
788806,2020-03-07,China,Guangdong,1352,0,1244,45,108
789604,2020-03-06,China,Guangdong,1352,0,1223,44,129
790646,2020-03-05,China,Guangdong,1351,0,1195,43,156
792153,2020-03-04,China,Guangdong,1350,0,1140,42,210
792845,2020-03-03,China,Guangdong,1350,0,1108,41,242
794278,2020-03-02,China,Guangdong,1350,0,1066,40,284
795548,2020-03-01,China,Guangdong,1349,0,1023,39,326
796812,2020-02-29,China,Guangdong,1349,0,990,38,359
798091,2020-02-28,China,Guangdong,1348,0,942,37,406
799639,2020-02-27,China,Guangdong,1347,0,897,36,450
800639,2020-02-26,China,Guangdong,1347,0,858,35,489
802215,2020-02-25,China,Guangdong,1347,0,829,34,518
803415,2020-02-24,China,Guangdong,1345,0,792,33,553
804530,2020-02-23,China,Guangdong,1342,0,761,32,581
806303,2020-02-22,China,Guangdong,1339,0,733,31,606
808100,2020-02-21,China,Guangdong,1333,0,695,30,638
809245,2020-02-20,China,Guangdong,1332,0,647,29,685
811130,2020-02-19,China,Guangdong,1331,0,611,28,720
812625,2020-02-18,China,Guangdong,1328,0,569,27,759
814699,2020-02-17,China,Guangdong,1322,0,528,26,794
816660,2020-02-16,China,Guangdong,1316,0,467,25,849
818012,2020-02-15,China,Guangdong,1294,0,412,24,882
820158,2020-02-14,China,Guangdong,1261,0,364,23,897
822076,2020-02-13,China,Guangdong,1241,0,316,22,925
824996,2020-02-12,China,Guangdong,1219,0,276,21,943
826805,2020-02-11,China,Guangdong,1177,0,213,20,964
828858,2020-02-10,China,Guangdong,1159,0,168,19,991
830580,2020-02-09,China,Guangdong,1131,0,142,18,989
833699,2020-02-08,China,Guangdong,1095,0,113,17,982
836773,2020-02-07,China,Guangdong,1034,0,89,16,945
839094,2020-02-06,China,Guangdong,970,0,69,15,901
841373,2020-02-05,China,Guangdong,895,0,49,14,846
843602,2020-02-04,China,Guangdong,813,0,30,13,783
845243,2020-02-03,China,Guangdong,725,0,21,12,704
846709,2020-02-02,China,Guangdong,632,0,15,11,617
848428,2020-02-01,China,Guangdong,535,0,14,10,521
850374,2020-01-31,China,Guangdong,436,0,11,9,425
852021,2020-01-30,China,Guangdong,354,0,10,8,344
853237,2020-01-29,China,Guangdong,277,0,5,7,272
854304,2020-01-28,China,Guangdong,207,0,4,6,203
855097,2020-01-27,China,Guangdong,151,0,3,5,148
856286,2020-01-26,China,Guangdong,111,0,2,4,109
