date,countryCode,province,province_confirmedCount,E,R,Days,I
2020/1/22,China,Guangdong,26,1,0,0,26
2020/1/23,China,Guangdong,32,1,2,1,30
2020/1/24,China,Guangdong,53,0,2,2,51
2020/1/25,China,Guangdong,78,0,2,3,76
2020/1/26,China,Guangdong,111,0,2,4,109
2020/1/27,China,Guangdong,151,0,3,5,148
2020/1/28,China,Guangdong,207,0,4,6,203
2020/1/29,China,Guangdong,277,0,5,7,272
2020/1/30,China,Guangdong,354,0,10,8,344
2020/1/31,China,Guangdong,436,0,11,9,425
2020/2/1,China,Guangdong,535,0,14,10,521
2020/2/2,China,Guangdong,632,0,15,11,617
2020/2/3,China,Guangdong,725,0,21,12,704
2020/2/4,China,Guangdong,813,0,30,13,783
2020/2/5,China,Guangdong,895,0,49,14,846
2020/2/6,China,Guangdong,970,0,69,15,901
2020/2/7,China,Guangdong,1034,0,89,16,945
2020/2/8,China,Guangdong,1095,0,113,17,982
2020/2/9,China,Guangdong,1131,0,142,18,989
2020/2/10,China,Guangdong,1159,0,168,19,991
2020/2/11,China,Guangdong,1177,0,213,20,964
2020/2/12,China,Guangdong,1219,0,276,21,943
2020/2/13,China,Guangdong,1241,0,316,22,925
2020/2/14,China,Guangdong,1261,0,364,23,897
2020/2/15,China,Guangdong,1294,0,412,24,882
2020/2/16,China,Guangdong,1316,0,467,25,849
2020/2/17,China,Guangdong,1322,0,528,26,794
2020/2/18,China,Guangdong,1328,0,569,27,759
2020/2/19,China,Guangdong,1331,0,611,28,720
2020/2/20,China,Guangdong,1332,0,647,29,685
2020/2/21,China,Guangdong,1333,0,695,30,638
2020/2/22,China,Guangdong,1339,0,733,31,606
2020/2/23,China,Guangdong,1342,0,761,32,581
2020/2/24,China,Guangdong,1345,0,792,33,553
2020/2/25,China,Guangdong,1347,0,829,34,518
2020/2/26,China,Guangdong,1347,0,858,35,489
2020/2/27,China,Guangdong,1347,0,897,36,450
2020/2/28,China,Guangdong,1348,0,942,37,406
2020/2/29,China,Guangdong,1349,0,990,38,359
2020/3/1,China,Guangdong,1349,0,1023,39,326
2020/3/2,China,Guangdong,1350,0,1066,40,284
2020/3/3,China,Guangdong,1350,0,1108,41,242
2020/3/4,China,Guangdong,1350,0,1140,42,210
2020/3/5,China,Guangdong,1351,0,1195,43,156
2020/3/6,China,Guangdong,1352,0,1223,44,129
2020/3/7,China,Guangdong,1352,0,1244,45,108
2020/3/8,China,Guangdong,1352,0,1263,46,89
2020/3/9,China,Guangdong,1352,0,1268,47,84
2020/3/10,China,Guangdong,1353,0,1282,48,71
2020/3/11,China,Guangdong,1356,0,1290,49,66
2020/3/12,China,Guangdong,1356,0,1297,50,59
2020/3/13,China,Guangdong,1356,0,1304,51,52
2020/3/14,China,Guangdong,1356,0,1307,52,49
2020/3/15,China,Guangdong,1360,0,1312,53,48
2020/3/16,China,Guangdong,1361,0,1314,54,47
2020/3/17,China,Guangdong,1364,0,1315,55,49
2020/3/18,China,Guangdong,1370,0,1321,56,49
2020/3/19,China,Guangdong,1378,0,1326,57,52
2020/3/20,China,Guangdong,1395,0,1331,58,64
2020/3/21,China,Guangdong,1400,0,1333,59,67
2020/3/22,China,Guangdong,1407,0,1337,60,70
2020/3/23,China,Guangdong,1415,0,1340,61,75
2020/3/24,China,Guangdong,1428,0,1341,62,87
2020/3/25,China,Guangdong,1433,5,1344,63,89
2020/3/26,China,Guangdong,1448,5,1344,64,104
2020/3/27,China,Guangdong,1456,5,1345,65,111
2020/3/28,China,Guangdong,1467,5,1349,66,118
2020/3/29,China,Guangdong,1475,10,1357,67,118
2020/3/30,China,Guangdong,1484,10,1359,68,125
2020/3/31,China,Guangdong,1494,10,1364,69,130
2020/4/1,China,Guangdong,1501,10,1365,70,136
2020/4/2,China,Guangdong,1507,10,1373,71,134
2020/4/3,China,Guangdong,1514,10,1376,72,138
2020/4/4,China,Guangdong,1516,11,1386,73,130
2020/4/5,China,Guangdong,1524,11,1395,74,129
2020/4/6,China,Guangdong,1532,11,1403,75,129
2020/4/7,China,Guangdong,1533,11,1409,76,124
2020/4/8,China,Guangdong,1536,11,1419,77,117
2020/4/9,China,Guangdong,1539,11,1431,78,108
2020/4/10,China,Guangdong,1544,11,1442,79,102
2020/4/11,China,Guangdong,1548,11,1445,80,103
2020/4/12,China,Guangdong,1552,11,1451,81,101
2020/4/13,China,Guangdong,1555,11,1462,82,93
2020/4/14,China,Guangdong,1564,11,1466,83,98
2020/4/15,China,Guangdong,1566,11,1470,84,96
2020/4/16,China,Guangdong,1571,11,1479,85,92
2020/4/17,China,Guangdong,1577,11,1483,86,94
2020/4/18,China,Guangdong,1579,11,1490,87,89
2020/4/19,China,Guangdong,1580,11,1498,88,82
2020/4/20,China,Guangdong,1581,11,1502,89,79
2020/4/21,China,Guangdong,1582,11,1509,90,73
2020/4/22,China,Guangdong,1582,11,1519,91,63
2020/4/23,China,Guangdong,1584,11,1526,92,58
2020/4/24,China,Guangdong,1585,11,1536,93,49
2020/4/25,China,Guangdong,1585,11,1542,94,43
2020/4/26,China,Guangdong,1586,11,1550,95,36
2020/4/27,China,Guangdong,1587,11,1550,96,37
2020/4/28,China,Guangdong,1587,11,1555,97,32
2020/4/29,China,Guangdong,1588,11,1562,98,26
2020/4/30,China,Guangdong,1588,11,1565,99,23
2020/5/1,China,Guangdong,1588,11,1573,100,15
2020/5/2,China,Guangdong,1588,11,1575,101,13
2020/5/3,China,Guangdong,1588,11,1575,101,13
2020/5/4,China,Guangdong,1588,11,1577,103,11
2020/5/5,China,Guangdong,1588,11,1579,104,9
2020/5/6,China,Guangdong,1588,11,1588,105,0
2020/5/7,China,Guangdong,1589,11,1583,106,6
2020/5/8,China,Guangdong,1589,11,1583,106,6
2020/5/9,China,Guangdong,1589,11,1584,108,5
2020/5/10,China,Guangdong,1589,11,1584,108,5
2020/5/11,China,Guangdong,1589,11,1585,110,4
2020/5/12,China,Guangdong,1589,11,1586,111,3
2020/5/13,China,Guangdong,1589,11,1586,111,3
2020/5/14,China,Guangdong,1589,11,1587,113,2
2020/5/15,China,Guangdong,1589,11,1587,113,2
2020/5/16,China,Guangdong,1589,11,1587,113,2
2020/5/17,China,Guangdong,1590,11,1587,116,3
2020/5/18,China,Guangdong,1590,11,1587,116,3
2020/5/19,China,Guangdong,1590,11,1587,116,3
2020/5/20,China,Guangdong,1590,11,1587,116,3
2020/5/21,China,Guangdong,1590,11,1587,116,3
2020/5/22,China,Guangdong,1591,11,1588,121,3
2020/5/23,China,Guangdong,1591,11,1588,121,3
2020/5/24,China,Guangdong,1592,11,1588,123,4
2020/5/25,China,Guangdong,1592,11,1589,124,3
2020/5/26,China,Guangdong,1592,11,1589,124,3
2020/5/27,China,Guangdong,1592,11,1589,124,3
2020/5/28,China,Guangdong,1592,11,1590,127,2
2020/5/29,China,Guangdong,1592,11,1590,127,2
2020/5/30,China,Guangdong,1593,11,1591,129,2
2020/5/31,China,Guangdong,1593,11,1591,129,2
2020/6/1,China,Guangdong,1595,11,1591,131,4
2020/6/2,China,Guangdong,1596,11,1591,132,5
2020/6/3,China,Guangdong,1597,11,1591,133,6
2020/6/4,China,Guangdong,1598,11,1591,134,7
2020/6/5,China,Guangdong,1598,11,1592,135,6
2020/6/6,China,Guangdong,1601,11,1592,136,9
2020/6/7,China,Guangdong,1602,11,1592,137,10
2020/6/8,China,Guangdong,1602,11,1593,138,9
2020/6/9,China,Guangdong,1604,11,1594,139,10
2020/6/10,China,Guangdong,1604,11,1595,140,9
2020/6/11,China,Guangdong,1607,11,1596,141,11
2020/6/12,China,Guangdong,1607,11,1597,142,10
2020/6/13,China,Guangdong,1608,11,1598,143,10
2020/6/14,China,Guangdong,1625,11,1598,144,27
2020/6/15,China,Guangdong,1625,11,1598,144,27
2020/6/16,China,Guangdong,1628,11,1600,146,28
2020/6/17,China,Guangdong,1628,11,1601,147,27
2020/6/18,China,Guangdong,1628,11,1611,148,17
2020/6/19,China,Guangdong,1631,11,1612,149,19
2020/6/20,China,Guangdong,1634,11,1621,150,13
2020/6/21,China,Guangdong,1634,11,1622,151,12
2020/6/22,China,Guangdong,1634,11,1622,151,12
2020/6/23,China,Guangdong,1634,11,1627,153,7
2020/6/24,China,Guangdong,1634,11,1628,154,6
2020/6/25,China,Guangdong,1635,11,1629,155,6
2020/6/26,China,Guangdong,1635,11,1629,155,6
2020/6/27,China,Guangdong,1637,11,1630,157,7
2020/6/28,China,Guangdong,1637,11,1630,157,7
2020/6/29,China,Guangdong,1637,11,1633,159,4
2020/6/30,China,Guangdong,1641,11,1635,160,6
