Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,est_beta,err
0,126012483,1,26,0,0.000330038,0
1,126012477,0.879160235,28,4.142857143,0.000733913,2
2,126012456.9,0.083150476,47.35714286,5.642857143,0.001630402,3.642857143
3,126012431.7,0.274665274,70.57142857,7.428571429,0.003614019,5.428571429
4,126012398.1,0.868955656,101.2142857,9.785714286,0.007972077,7.785714286
5,126012356.4,2.574874102,137.4285714,13.57142857,0.017397819,10.57142857
6,126012295.5,7.529751192,188.5,18.5,0.037092431,14.5
7,126012212.5,20.47299105,252.5714286,24.42857143,0.075268515,19.42857143
8,126012108.4,47.58684406,319.4285714,34.57142857,0.138334238,24.57142857
9,126011983.6,90.39699474,394.6428571,41.35714286,0.212699547,30.35714286
10,126011844.7,130.3164838,483.7857143,51.21428571,0.25012867,37.21428571
11,126011745.1,132.872744,572.9285714,59.07142857,0.215353988,44.07142857
12,126011685.5,99.52075419,653.7142857,71.28571429,0.141365521,50.28571429
13,126011636.4,60.56069326,727.0714286,85.92857143,0.077344935,55.92857143
14,126011582.7,32.33843046,785.5714286,109.4285714,0.038225367,60.42857143
15,126011523.8,16.17644819,836.6428571,133.3571429,0.017954021,64.35714286
16,126011468.2,7.779384254,877.5,156.5,0.00823222,67.5
17,126011411.3,3.665815607,911.8571429,183.1428571,0.003733042,70.14285714
18,126011377.3,1.6657777,918.3571429,212.6428571,0.00168432,70.64285714
19,126011350.2,0.751397759,920.2142857,238.7857143,0.000758229,70.78571429
20,126011332.7,0.328703796,895.1428571,281.8571429,0.000340982,68.85714286
21,126011290.9,0.144534327,875.6428571,343.3571429,0.000153272,67.35714286
22,126011268.9,0.063715186,858.9285714,382.0714286,6.89E-05,66.07142857
23,126011249,0.027764844,832.9285714,428.0714286,3.10E-05,64.07142857
24,126011216,0.012267463,819,475,1.39E-05,63
25,126011194,0.005306023,788.3571429,527.6428571,6.25E-06,60.64285714
26,126011188,0.002229737,737.2857143,584.7142857,2.81E-06,56.71428571
27,126011182,0.000957734,704.7857143,623.2142857,1.26E-06,54.21428571
28,126011179,0.00040823,668.5714286,662.4285714,5.67E-07,51.42857143
29,126011178,0.000174515,636.0714286,695.9285714,2.55E-07,48.92857143
30,126011177,7.30E-05,592.4285714,740.5714286,1.14E-07,45.57142857
31,126011171,3.12E-05,562.7142857,776.2857143,5.14E-08,43.28571429
32,126011168,1.34E-05,539.5,802.5,2.31E-08,41.5
33,126011165,5.74E-06,513.5,831.5,1.04E-08,39.5
34,126011163,2.42E-06,481,866,4.67E-09,37
35,126011163,1.03E-06,454.0714286,892.9285714,2.10E-09,34.92857143
36,126011163,4.24E-07,417.8571429,929.1428571,9.42E-10,32.14285714
37,126011162,1.72E-07,377,971,4.23E-10,29
38,126011161,6.83E-08,333.3571429,1015.642857,1.90E-10,25.64285714
39,126011161,2.79E-08,302.7142857,1046.285714,8.55E-11,23.28571429
40,126011160,1.09E-08,263.7142857,1086.285714,3.84E-11,20.28571429
41,126011160,4.18E-09,224.7142857,1125.285714,1.73E-11,17.28571429
42,126011160,1.63E-09,195,1155,7.75E-12,15
43,126011159,5.44E-10,144.8571429,1206.142857,3.48E-12,11.14285714
44,126011158,2.02E-10,119.7857143,1232.214286,1.57E-12,9.214285714
45,126011158,7.60E-11,100.2857143,1251.714286,7.03E-13,7.714285714
46,126011158,2.81E-11,82.64285714,1269.357143,3.16E-13,6.357142857
47,126011158,1.19E-11,78,1274,1.42E-13,6
48,126011157,4.53E-12,65.92857143,1287.071429,6.38E-14,5.071428571
49,126011154,1.89E-12,61.28571429,1294.714286,2.87E-14,4.714285714
50,126011154,7.60E-13,54.78571429,1301.214286,1.29E-14,4.214285714
51,126011154,3.01E-13,48.28571429,1307.714286,5.79E-15,3.714285714
52,126011154,1.27E-13,45.5,1310.5,2.60E-15,3.5
53,126011150,5.61E-14,44.57142857,1315.428571,1.17E-15,3.428571429
54,126011149,2.47E-14,43.64285714,1317.357143,5.25E-16,3.357142857
55,126011146,1.16E-14,45.5,1318.5,2.36E-16,3.5
56,126011140,5.20E-15,45.5,1324.5,1.06E-16,3.5
57,126011132,2.48E-15,48.28571429,1329.714286,4.77E-17,3.714285714
58,126011115,1.37E-15,59.42857143,1335.571429,2.14E-17,4.571428571
59,126011110,6.45E-16,62.21428571,1337.785714,9.62E-18,4.785714286
60,126011103,3.03E-16,65,1342,4.32E-18,5
61,126011095,1.46E-16,69.64285714,1345.357143,1.94E-18,5.357142857
62,126011082,7.59E-17,80.78571429,1347.214286,8.73E-19,6.214285714
63,126011072,4.285714286,83.35714286,1350.357143,3.92E-19,5.642857143
64,126011057,4.285714286,97.28571429,1351.428571,1.76E-19,6.714285714
65,126011049,4.285714286,103.7857143,1352.928571,7.92E-20,7.214285714
