date,countryCode,province,province_confirmedCount,E,R,Days,I
2020/1/22,China,Hubei,444,0,45,0,399
2020/1/24,China,Hubei,549,0,55,2,494
2020/1/25,China,Hubei,730,0,71,3,659
2020/1/26,China,Hubei,1058,0,94,4,964
2020/1/27,China,Hubei,1423,0,123,5,1300
2020/1/28,China,Hubei,2714,0,152,6,2562
2020/1/29,China,Hubei,3554,0,212,7,3342
2020/1/30,China,Hubei,4903,0,252,8,4651
2020/1/31,China,Hubei,5806,0,345,9,5461
2020/2/1,China,Hubei,7153,0,417,10,6736
2020/2/2,China,Hubei,9074,0,561,11,8513
2020/2/3,China,Hubei,11177,0,650,12,10527
2020/2/4,China,Hubei,13522,0,811,13,12711
2020/2/5,China,Hubei,16678,0,1015,14,15663
2020/2/6,China,Hubei,19665,0,1261,15,18404
2020/2/7,China,Hubei,22112,0,1485,16,20627
2020/2/8,China,Hubei,24953,0,1917,17,23036
2020/2/9,China,Hubei,27100,23638,2260,18,24840
2020/2/10,China,Hubei,29631,0,2725,19,26906
2020/2/11,China,Hubei,31728,0,3284,20,28444
2020/2/12,China,Hubei,33366,0,3754,21,29612
2020/2/13,China,Hubei,48206,0,4769,22,43437
2020/2/14,China,Hubei,51986,0,5218,23,46768
2020/2/15,China,Hubei,54406,0,6278,24,48128
2020/2/16,China,Hubei,56249,0,7262,25,48987
2020/2/17,China,Hubei,58182,0,8389,26,49793
2020/2/18,China,Hubei,59989,0,9732,27,50257
2020/2/19,China,Hubei,61682,0,11257,28,50425
2020/2/20,China,Hubei,62031,0,12550,29,49481
2020/2/21,China,Hubei,62662,0,14025,30,48637
2020/2/22,China,Hubei,63454,0,15940,31,47514
2020/2/23,China,Hubei,64084,0,17689,32,46395
2020/2/24,China,Hubei,64287,0,19243,33,45044
2020/2/25,China,Hubei,64786,0,21534,34,43252
2020/2/26,China,Hubei,65187,0,23584,35,41603
2020/2/27,China,Hubei,65596,0,26024,36,39572
2020/2/28,China,Hubei,65914,0,29085,37,36829
2020/2/29,China,Hubei,66337,0,31720,38,34617
2020/3/1,China,Hubei,66907,0,34297,39,32610
2020/3/2,China,Hubei,67103,0,36737,40,30366
2020/3/3,China,Hubei,67217,0,39043,41,28174
2020/3/4,China,Hubei,67332,0,41428,42,25904
2020/3/5,China,Hubei,67466,0,43494,43,23972
2020/3/6,China,Hubei,67592,0,44964,44,22628
2020/3/7,China,Hubei,67666,0,46459,45,21207
2020/3/8,China,Hubei,67707,0,48221,46,19486
2020/3/9,China,Hubei,67743,0,49496,47,18247
2020/3/10,China,Hubei,67760,0,50767,48,16993
2020/3/11,China,Hubei,67773,0,52180,49,15593
2020/3/12,China,Hubei,67781,0,53374,50,14407
2020/3/13,China,Hubei,67786,0,54615,51,13171
2020/3/14,China,Hubei,67790,0,56035,52,11755
2020/3/15,China,Hubei,67794,0,57373,53,10421
2020/3/16,China,Hubei,67798,0,58241,54,9557
2020/3/17,China,Hubei,67799,0,59114,55,8685
2020/3/18,China,Hubei,67800,0,60049,56,7751
2020/3/19,China,Hubei,67800,0,60812,57,6988
2020/3/20,China,Hubei,67800,0,61515,58,6285
2020/3/21,China,Hubei,67800,0,62085,59,5715
2020/3/22,China,Hubei,67800,0,62577,60,5223
2020/3/23,China,Hubei,67800,0,63035,61,4765
2020/3/24,China,Hubei,67801,0,63484,62,4317
2020/3/25,China,Hubei,67801,0,63974,63,3827
2020/3/26,China,Hubei,67801,0,64370,64,3431
2020/3/27,China,Hubei,67801,0,64906,65,2895
2020/3/28,China,Hubei,67801,0,65275,66,2526
2020/3/29,China,Hubei,67801,0,65752,67,2049
2020/3/30,China,Hubei,67801,0,66075,68,1726
2020/3/31,China,Hubei,67801,0,66340,69,1461
2020/4/1,China,Hubei,67802,0,66519,70,1283
2020/4/2,China,Hubei,67802,0,66670,71,1132
2020/4/3,China,Hubei,67802,0,66815,72,987
2020/4/4,China,Hubei,67803,0,66969,73,834
2020/4/5,China,Hubei,67803,0,67155,74,648
2020/4/6,China,Hubei,67803,0,67226,75,577
2020/4/7,China,Hubei,67803,0,67285,76,518
2020/4/8,China,Hubei,67803,0,67355,77,448
2020/4/9,China,Hubei,67803,0,67402,78,401
2020/4/10,China,Hubei,67803,0,67452,79,351
2020/4/11,China,Hubei,67803,0,67483,80,320
2020/4/12,China,Hubei,67803,0,67500,81,303
2020/4/13,China,Hubei,67803,0,67559,82,244
2020/4/14,China,Hubei,67803,0,67584,83,219
2020/4/15,China,Hubei,67803,0,67624,84,179
2020/4/16,China,Hubei,67803,0,67657,85,146
2020/4/17,China,Hubei,68128,0,67999,86,129
2020/4/18,China,Hubei,68128,0,68006,87,122
2020/4/19,China,Hubei,68128,0,68019,88,109
2020/4/20,China,Hubei,68128,0,68023,89,105
