,date,countryCode,province,province_confirmedCount,E,R,Days,I
666520,2020-06-05,China,Hubei,68135,0,68135,135,0
671080,2020-06-01,China,Hubei,68135,0,68132,131,3
673056,2020-05-30,China,Hubei,68135,0,68131,129,4
676462,2020-05-27,China,Hubei,68135,0,68130,126,5
678457,2020-05-25,China,Hubei,68135,0,68129,124,6
683204,2020-05-19,China,Hubei,68135,0,68128,118,7
691381,2020-05-11,China,Hubei,68134,0,68128,110,6
692457,2020-05-10,China,Hubei,68129,0,68128,109,1
705629,2020-04-27,China,Hubei,68128,0,68128,96,0
706688,2020-04-26,China,Hubei,68128,0,68116,95,12
708447,2020-04-25,China,Hubei,68128,0,68105,94,23
709837,2020-04-24,China,Hubei,68128,0,68081,93,47
711191,2020-04-23,China,Hubei,68128,0,68059,92,69
712735,2020-04-22,China,Hubei,68128,0,68031,91,97
714216,2020-04-21,China,Hubei,68128,0,68026,90,102
715446,2020-04-20,China,Hubei,68128,0,68023,89,105
716659,2020-04-19,China,Hubei,68128,0,68019,88,109
717751,2020-04-18,China,Hubei,68128,0,68006,87,122
719004,2020-04-17,China,Hubei,68128,0,67999,86,129
720993,2020-04-16,China,Hubei,67803,0,67657,85,146
722266,2020-04-15,China,Hubei,67803,0,67624,84,179
724024,2020-04-14,China,Hubei,67803,0,67584,83,219
724920,2020-04-13,China,Hubei,67803,0,67559,82,244
726590,2020-04-12,China,Hubei,67803,0,67500,81,303
728182,2020-04-11,China,Hubei,67803,0,67483,80,320
729468,2020-04-10,China,Hubei,67803,0,67452,79,351
731132,2020-04-09,China,Hubei,67803,0,67402,78,401
733127,2020-04-08,China,Hubei,67803,0,67355,77,448
734725,2020-04-07,China,Hubei,67803,0,67285,76,518
736171,2020-04-06,China,Hubei,67803,0,67226,75,577
738489,2020-04-05,China,Hubei,67803,0,67155,74,648
740106,2020-04-04,China,Hubei,67803,0,66969,73,834
741908,2020-04-03,China,Hubei,67802,0,66815,72,987
743263,2020-04-02,China,Hubei,67802,0,66670,71,1132
745215,2020-04-01,China,Hubei,67802,0,66519,70,1283
748083,2020-03-31,China,Hubei,67801,0,66340,69,1461
748905,2020-03-30,China,Hubei,67801,0,66075,68,1726
751626,2020-03-29,China,Hubei,67801,0,65752,67,2049
755065,2020-03-28,China,Hubei,67801,0,65275,66,2526
756159,2020-03-27,China,Hubei,67801,0,64906,65,2895
760520,2020-03-26,China,Hubei,67801,0,64370,64,3431
762730,2020-03-25,China,Hubei,67801,0,63974,63,3827
764387,2020-03-24,China,Hubei,67801,0,63484,62,4317
768374,2020-03-23,China,Hubei,67800,0,63035,61,4765
770537,2020-03-22,China,Hubei,67800,0,62577,60,5223
771581,2020-03-21,China,Hubei,67800,0,62085,59,5715
772542,2020-03-20,China,Hubei,67800,0,61515,58,6285
774273,2020-03-19,China,Hubei,67800,0,60812,57,6988
775503,2020-03-18,China,Hubei,67800,0,60049,56,7751
777449,2020-03-17,China,Hubei,67799,0,59114,55,8685
779356,2020-03-16,China,Hubei,67798,0,58241,54,9557
780858,2020-03-15,China,Hubei,67794,0,57373,53,10421
782005,2020-03-14,China,Hubei,67790,0,56035,52,11755
783223,2020-03-13,China,Hubei,67786,0,54615,51,13171
783746,2020-03-12,China,Hubei,67781,0,53374,50,14407
784727,2020-03-11,China,Hubei,67773,0,52180,49,15593
785646,2020-03-10,China,Hubei,67760,0,50767,48,16993
786835,2020-03-09,China,Hubei,67743,0,49496,47,18247
787657,2020-03-08,China,Hubei,67707,0,48221,46,19486
788788,2020-03-07,China,Hubei,67666,0,46459,45,21207
789533,2020-03-06,China,Hubei,67592,0,44964,44,22628
790614,2020-03-05,China,Hubei,67466,0,43494,43,23972
792024,2020-03-04,China,Hubei,67332,0,41428,42,25904
793021,2020-03-03,China,Hubei,67217,0,39043,41,28174
794261,2020-03-02,China,Hubei,67103,0,36737,40,30366
