,Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,est_beta,err
0,0,58499556,0,399,45,0.003129245,0
1,1,58499448.99,2.013452634,458.7142857,90.28571429,0.004075853,35.28571429
2,2,58499266.5,3.498221928,611.9285714,118.0714286,0.005308445,47.07142857
3,3,58498935.34,6.664169279,895.1428571,162.8571429,0.006913164,68.85714286
4,4,58498565.3,11.70220967,1207.142857,215.8571429,0.009001919,92.85714286
5,5,58497255.97,30.02517858,2379,335,0.011719973,183
6,6,58496395.02,50.98135402,3103.285714,450.7142857,0.015255671,238.7142857
7,7,58495004.67,92.32788232,4318.785714,584.2142857,0.019852853,332.2142857
8,8,58494052.97,141.0251337,5070.928571,735.0714286,0.025826613,390.0714286
9,9,58492620.81,226.1879965,6254.857143,898.1428571,0.033583084,481.1428571
10,10,58490554.52,371.4840136,7904.928571,1169.071429,0.043644032,608.0714286
11,11,58488226.48,596.5232851,9775.071429,1401.928571,0.056676857,751.9285714
12,12,58485543.57,934.4284442,11803.07143,1718.928571,0.073530366,907.9285714
13,13,58481830.12,1491.880529,14544.21429,2133.785714,0.095275872,1118.785714
14,14,58478067.44,2267.563923,17089.42857,2575.571429,0.123251816,1314.571429
15,15,58474607.33,3280.670908,19153.64286,2958.357143,0.159107549,1473.357143
16,16,58470330.37,4716.628577,21390.57143,3562.428571,0.204837702,1645.428571
17,17,58442739.91,26783.23651,26442.57143,4034.285714,0.262792081,-1602.571429
18,18,58461342.94,9026.063472,24984.14286,4646.857143,0.335636572,1921.857143
19,19,58456154.93,12117.06647,26412.28571,5315.714286,0.426228443,2031.714286
20,20,58450730.87,15903.12564,27496.85714,5869.142857,0.537356521,2115.142857
21,21,58422659.26,29134.74133,40334.35714,7871.642857,0.671288744,3102.642857
22,22,58409274.13,38739.87007,43427.42857,8558.571429,0.829078149,3340.571429
23,23,58397048.09,48545.90695,44690.28571,9715.714286,1.009622205,3437.714286
24,24,58384603.68,59147.32364,45487.92857,10761.07143,1.208570637,3499.071429
25,25,58371314.54,70503.46466,46236.35714,11945.64286,1.417340885,3556.642857
26,26,58358543.08,81467.92363,46667.21429,13321.78571,1.62269039,3589.785714
27,27,58347276.07,91041.93296,46823.21429,14858.78571,1.807397685,3601.785714
28,28,58341462.39,96506.61373,45946.64286,16084.35714,1.952447485,3534.357143
29,29,58338196.4,99141.60027,45162.92857,17499.07143,2.040584518,3474.071429
30,30,58338757.58,97788.41806,44120.14286,19333.85714,2.060331749,3393.857143
31,31,58342809.84,93106.15734,43081.07143,21002.92857,2.009015252,3313.928571
32,32,58350515.65,85197.34726,41826.57143,22460.42857,1.893505807,3217.428571
33,33,58360542.59,74671.41283,40162.57143,24623.42857,1.728340877,3089.428571
34,34,58371145.56,63667.43737,38631.35714,26555.64286,1.532064073,2971.642857
35,35,58382098.83,52305.17156,36745.42857,28850.57143,1.323256018,2826.571429
36,36,58392974.87,41111.13075,34198.35714,31715.64286,1.117529782,2630.642857
37,37,58401642.49,32020.50779,32144.35714,34192.64286,0.926043827,2472.642857
38,38,58408488.09,24604.91289,30280.71429,36626.28571,0.755384421,2329.285714
39,39,58414446.27,18450.72542,28197,38906,0.608309089,2169
