,date,countryEnglishName,provinceEnglishName,province_confirmedCount,E,R,I,Days
0,2020-04-03,China,Beijing,584,164,442,142,1
1,2020-04-04,China,Beijing,585,164,446,139,2
2,2020-04-05,China,Beijing,586,164,449,137,3
3,2020-04-06,China,Beijing,587,164,451,136,4
4,2020-04-07,China,Beijing,587,164,456,131,5
5,2020-04-08,China,Beijing,588,164,463,125,6
6,2020-04-09,China,Beijing,588,164,472,116,7
7,2020-04-10,China,Beijing,588,164,477,111,8
8,2020-04-11,China,Beijing,589,164,482,107,9
9,2020-04-12,China,Beijing,589,164,487,102,10
10,2020-04-13,China,Beijing,589,164,492,97,11
11,2020-04-14,China,Beijing,589,164,499,90,12
12,2020-04-15,China,Beijing,590,164,503,87,13
13,2020-04-16,China,Beijing,593,164,511,82,14
14,2020-04-17,China,Beijing,593,164,517,76,15
15,2020-04-18,China,Beijing,593,164,517,76,16
16,2020-04-19,China,Beijing,593,164,518,75,17
17,2020-04-20,China,Beijing,593,164,522,71,18
18,2020-04-21,China,Beijing,593,164,524,69,19
19,2020-04-22,China,Beijing,593,164,526,67,20
20,2020-04-23,China,Beijing,593,164,530,63,21
21,2020-04-24,China,Beijing,593,164,532,61,22
22,2020-04-25,China,Beijing,593,164,533,60,23
23,2020-04-26,China,Beijing,593,164,533,60,24
24,2020-04-27,China,Beijing,593,164,534,59,25
25,2020-04-28,China,Beijing,593,164,547,46,26
26,2020-04-29,China,Beijing,593,164,547,46,27
27,2020-04-30,China,Beijing,593,164,551,42,28
28,2020-05-01,China,Beijing,593,164,556,37,29
29,2020-05-02,China,Beijing,593,164,556,37,30
30,2020-05-03,China,Beijing,593,164,560,33,31
31,2020-05-04,China,Beijing,593,164,562,31,32
32,2020-05-05,China,Beijing,593,164,563,30,33
33,2020-05-06,China,Beijing,593,164,564,29,34
34,2020-05-07,China,Beijing,593,164,566,27,35
35,2020-05-08,China,Beijing,593,164,569,24,36
36,2020-05-09,China,Beijing,593,164,572,21,37
37,2020-05-10,China,Beijing,593,164,574,19,38
38,2020-05-11,China,Beijing,593,164,577,16,39
39,2020-05-12,China,Beijing,593,164,580,13,40
40,2020-05-13,China,Beijing,593,164,582,11,41
41,2020-05-14,China,Beijing,593,164,583,10,42
42,2020-05-15,China,Beijing,593,164,583,10,43
43,2020-05-16,China,Beijing,593,164,585,8,44
44,2020-05-17,China,Beijing,593,164,586,7,45
45,2020-05-18,China,Beijing,593,164,587,6,46
46,2020-05-19,China,Beijing,593,164,587,6,47
47,2020-05-20,China,Beijing,593,164,587,6,48
48,2020-05-21,China,Beijing,593,164,587,6,49
49,2020-05-22,China,Beijing,593,164,588,5,50
50,2020-05-23,China,Beijing,593,164,588,5,51
51,2020-05-24,China,Beijing,593,164,590,3,52
52,2020-05-25,China,Beijing,593,164,590,3,53
53,2020-05-26,China,Beijing,593,164,590,3,54
54,2020-05-27,China,Beijing,593,164,590,3,55
55,2020-05-28,China,Beijing,593,164,590,3,56
56,2020-05-29,China,Beijing,593,164,590,3,57
57,2020-05-30,China,Beijing,593,164,590,3,58
58,2020-05-31,China,Beijing,593,164,590,3,59
59,2020-06-01,China,Beijing,593,164,590,3,60
60,2020-06-02,China,Beijing,593,164,590,3,61
61,2020-06-03,China,Beijing,594,164,591,3,62
62,2020-06-04,China,Beijing,594,164,592,2,63
63,2020-06-05,China,Beijing,594,164,592,2,64
64,2020-06-06,China,Beijing,594,164,592,2,65
65,2020-06-07,China,Beijing,594,164,592,2,66
66,2020-06-08,China,Beijing,594,164,592,2,67
67,2020-06-09,China,Beijing,594,164,593,1,68
68,2020-06-10,China,Beijing,594,164,593,1,69
69,2020-06-11,China,Beijing,595,164,593,2,70
70,2020-06-12,China,Beijing,597,164,593,4,71
71,2020-06-13,China,Beijing,601,164,593,8,72
72,2020-06-14,China,Beijing,645,164,593,52,73
73,2020-06-15,China,Beijing,673,164,593,80,74
74,2020-06-16,China,Beijing,700,164,593,107,75
75,2020-06-17,China,Beijing,731,164,593,138,76
76,2020-06-18,China,Beijing,752,164,593,159,77
77,2020-06-19,China,Beijing,777,164,593,184,78
78,2020-06-20,China,Beijing,799,164,593,206,79
79,2020-06-21,China,Beijing,821,164,593,228,80
80,2020-06-22,China,Beijing,830,164,593,237,81
81,2020-06-23,China,Beijing,843,164,593,250,82
82,2020-06-24,China,Beijing,850,164,593,257,83
83,2020-06-25,China,Beijing,863,164,593,270,84
84,2020-06-26,China,Beijing,874,164,594,280,85
85,2020-06-27,China,Beijing,891,164,594,297,86
86,2020-06-28,China,Beijing,905,164,594,311,87
87,2020-06-29,China,Beijing,912,164,595,317,88
88,2020-06-30,China,Beijing,919,164,595,324,89
89,2020-07-01,China,Beijing,922,164,596,326,90
90,2020-07-02,China,Beijing,923,164,598,325,91
91,2020-07-03,China,Beijing,925,164,601,324,92
92,2020-07-04,China,Beijing,926,164,603,323,93
93,2020-07-05,China,Beijing,928,164,604,324,94
94,2020-07-06,China,Beijing,929,164,605,324,95
95,2020-07-07,China,Beijing,929,164,609,320,96
96,2020-07-08,China,Beijing,929,164,622,307,97
97,2020-07-09,China,Beijing,929,164,654,275,98
