date,Days,countryCode,province,city,I,E,R,S,err
2019/12/9,1,CN,,,1,0,0,1399999999,0.071428571
2019/12/10,2,CN,,,1,0,0,1399999999,0.071428571
2019/12/11,3,CN,,,4,0,0,1399999996,0.285714286
2019/12/12,4,CN,,,4,0,0,1399999996,0.285714286
2019/12/13,5,CN,,,4,0,0,1399999996,0.285714286
2019/12/14,6,CN,,,4,0,0,1399999996,0.285714286
2019/12/15,7,CN,,,6,0,0,1399999994,0.428571429
2019/12/16,8,CN,,,6,0,0,1399999994,0.428571429
2019/12/17,9,CN,,,7,0,0,1399999993,0.5
2019/12/18,10,CN,,,8,0,0,1399999992,0.571428571
2019/12/19,11,CN,,,9,0,0,1399999991,0.642857143
2019/12/20,12,CN,,,14,0,0,1399999986,1
2019/12/21,13,CN,,,18,0,0,1399999982,1.28571429
2019/12/22,14,CN,,,21,0,0,1399999979,1.5
2019/12/23,15,CN,,,29,0,0,1399999971,2.07142857
2019/12/24,16,CN,,,30,0,0,1399999970,2.14285714
2019/12/25,17,CN,,,33,0,0,1399999967,2.35714286
2019/12/26,18,CN,,,35,0,0,1399999965,2.5
2019/12/27,19,CN,,,37,0,0,1399999963,2.64285714
2019/12/28,20,CN,,,37,0,0,1399999963,2.64285714
2019/12/29,21,CN,,,37,0,0,1399999963,2.64285714
2019/12/30,22,CN,,,37,0,0,1399999963,2.64285714
2019/12/31,23,CN,,,40,0,0,1399999960,2.85714286
2020/1/1,24,CN,,,43,0,0,1399999957,3.07142857
2020/1/2,25,CN,,,44,0,0,1399999956,3.14285714
2020/1/3,26,CN,,,41,0,0,1399999959,2.92857143
2020/1/4,27,CN,,,41,0,0,1399999959,2.92857143
2020/1/5,28,CN,,,41,0,0,1399999959,2.92857143
2020/1/6,29,CN,,,41,0,0,1399999959,2.92857143
2020/1/7,30,CN,,,41,0,0,1399999959,2.92857143
2020/1/8,31,CN,,,41,0,0,1399999959,2.92857143
2020/1/9,32,CN,,,41,0,0,1399999959,2.92857143
2020/1/10,33,CN,,,38,0,3,1399999959,2.71428571
2020/1/11,34,CN,,,34,0,7,1399999959,2.42857143
2020/1/12,35,CN,,,33,0,8,1399999959,2.35714286
2020/1/13,36,CN,,,33,0,8,1399999959,2.35714286
2020/1/14,37,CN,,,33,0,8,1399999959,2.35714286
2020/1/15,38,CN,,,27,0,14,1399999959,1.92857143
2020/1/16,39,CN,,,28,0,17,1399999955,2
2020/1/17,40,CN,,,41,0,21,1399999938,2.92857143
2020/1/18,41,CN,,,171,0,27,1399999802,12.2142857
2020/1/19,42,CN,,,246,0,29,1399999725,17.5714286
2020/1/20,43,CN,,,260,54,31,1399999655,10.8571429
2020/1/21,44,CN,,,406,37,34,1399999523,23.7142857
2020/1/22,45,CN,,,529,393,42,1399999036,-18.3571429
2020/1/23,46,CN,,,771,1072,59,1399998098,-98.0714286
2020/1/24,47,CN,,,1208,1965,79,1399996748,-194.428571
2020/1/25,48,CN,,,1870,2684,105,1399995341,-249.857143
2020/1/26,49,CN,,,2613,5794,131,1399991462,-641.071429
2020/1/27,50,CN,,,4349,6973,166,1399988512,-685.5
2020/1/28,51,CN,,,5739,9239,235,1399984787,-909.928571
2020/1/29,52,CN,,,7417,12167,294,1399980122,-1208.357143
2020/1/30,53,CN,,,9308,15238,384,1399975070,-1512
2020/1/31,54,CN,,,11289,17988,502,1399970221,-1763.35714
2020/2/1,55,CN,,,13748,19544,632,1399966076,-1810
2020/2/2,56,CN,,,16369,21558,836,1399961237,-1910.5
