,index,date,Days,countryCode,province,city,I,E,R,err,est_beta
0,21,2019-12-08,0,CN,,,1,0,0,0.0,0.16426224800840813
1,24,2019-12-09,1,CN,,,1,0,0,0.0714285714285714,0.17461745704260634
2,27,2019-12-10,2,CN,,,1,0,0,0.0714285714285714,0.18447292034473534
3,30,2019-12-11,3,CN,,,4,0,0,0.2857142857142856,0.19360663504564873
4,33,2019-12-12,4,CN,,,4,0,0,0.2857142857142856,0.20179447440969103
5,36,2019-12-13,5,CN,,,4,0,0,0.2857142857142856,0.20882050293310792
6,39,2019-12-14,6,CN,,,4,0,0,0.2857142857142856,0.21448811367913306
7,42,2019-12-15,7,CN,,,6,0,0,0.4285714285714288,0.21863110352738613
8,45,2019-12-16,8,CN,,,6,0,0,0.4285714285714288,0.2211236826782812
9,48,2019-12-17,9,CN,,,7,0,0,0.5,0.22188842358961605
10,51,2019-12-18,10,CN,,,8,0,0,0.5714285714285712,0.22090130779210418
11,54,2019-12-19,11,CN,,,9,0,0,0.6428571428571423,0.21819331476859413
12,57,2019-12-20,12,CN,,,14,0,0,1.0,0.2138483746380899
13,60,2019-12-21,13,CN,,,18,0,0,1.2857142857142847,0.20799791404964524
14,63,2019-12-22,14,CN,,,21,0,0,1.5,0.20081259366652704
15,66,2019-12-23,15,CN,,,29,0,0,2.0714285714285694,0.19249210620087068
16,69,2019-12-24,16,CN,,,30,0,0,2.1428571428571423,0.18325403888454403
17,72,2019-12-25,17,CN,,,33,0,0,2.3571428571428577,0.1733227953534646
18,75,2019-12-26,18,CN,,,35,0,0,2.5,0.16291943861449135
19,78,2019-12-27,19,CN,,,37,0,0,2.642857142857146,0.1522530979806961
20,81,2019-12-28,20,CN,,,37,0,0,2.642857142857146,0.14151432557211446
21,84,2019-12-29,21,CN,,,37,0,0,2.642857142857146,0.13087053616846375
22,87,2019-12-30,22,CN,,,37,0,0,2.642857142857146,0.12046345102973532
23,90,2019-12-31,23,CN,,,40,0,0,2.857142857142854,0.1104083106315513
24,93,2020-01-01,24,CN,,,43,0,0,3.0714285714285694,0.1007945281568824
25,96,2020-01-02,25,CN,,,44,0,0,3.142857142857146,0.09168741946042658
26,99,2020-01-03,26,CN,,,41,0,0,2.9285714285714306,0.08313065407887815
27,102,2020-01-04,27,CN,,,41,0,0,2.9285714285714306,0.07514911130739851
28,105,2020-01-05,28,CN,,,41,0,0,2.9285714285714306,0.06775188165754684
29,108,2020-01-06,29,CN,,,41,0,0,2.9285714285714306,0.060935215885477206
30,111,2020-01-07,30,CN,,,41,0,0,2.9285714285714306,0.05468528315976845
31,114,2020-01-08,31,CN,,,41,0,0,2.9285714285714306,0.048980651882967345
32,117,2020-01-09,32,CN,,,41,0,0,2.9285714285714306,0.043794448850463165
33,120,2020-01-10,33,CN,,,38,0,3,2.7142857142857153,0.03909618438820964
34,123,2020-01-11,34,CN,,,34,0,7,2.428571428571427,0.034853253637133735
35,126,2020-01-12,35,CN,,,33,0,8,2.3571428571428577,0.03103213867375256
36,129,2020-01-13,36,CN,,,33,0,8,2.3571428571428577,0.027599344330002593
37,132,2020-01-14,37,CN,,,33,0,8,2.3571428571428577,0.02452210401542722
38,135,2020-01-15,38,CN,,,27,0,14,1.928571428571427,0.021768891973392903
39,138,2020-01-16,39,CN,,,28,0,17,2.0,0.019309776383769055
40,143,2020-01-17,40,CN,,,41,0,21,2.9285714285714306,0.017116644455258102
41,146,2020-01-18,41,CN,,,171,0,27,12.214285714285722,0.015163326786944481
42,149,2020-01-19,42,CN,,,246,0,29,17.571428571428555,0.013425644273160002
43,154,2020-01-20,43,CN,,,260,54,31,10.857142857142833,0.011881396970575686
44,173,2020-01-21,44,CN,,,406,37,34,23.714285714285722,0.010510310813362934
45,220,2020-01-22,45,CN,,,529,393,42,-18.357142857142776,0.00929395493717466
46,308,2020-01-23,46,CN,,,771,1072,59,-98.07142857142856,0.008215639683013486
47,460,2020-01-24,47,CN,,,1208,1965,79,-194.42857142857156,0.007260303087845756
48,661,2020-01-25,48,CN,,,1870,2684,105,-249.85714285714312,0.006414391798171675
49,890,2020-01-26,49,CN,,,2613,5794,131,-641.0714285714284,0.005665740822550082
50,1164,2020-01-27,50,CN,,,4349,6973,166,-685.5,0.005003455322175707
51,1452,2020-01-28,51,CN,,,5739,9239,235,-909.9285714285716,0.004417796678445072
52,1760,2020-01-29,52,CN,,,7417,12167,294,-1208.3571428571431,0.003900074329675382
53,2077,2020-01-30,53,CN,,,9308,15238,384,-1512.0,0.003442544296995873
54,2399,2020-01-31,54,CN,,,11289,17988,502,-1763.3571428571431,0.0030383148882517073
55,2728,2020-02-01,55,CN,,,13748,19544,632,-1810.0,0.0026812597499601093
56,3060,2020-02-02,56,CN,,,16369,21558,836,-1910.5,0.00236593820709234
