,index,date,Days,countryCode,province,city,I,E,R,err,est_beta
0,21,2019-12-08,0,CN,,,1,0,0,0.0,0.16008619612799335
1,24,2019-12-09,1,CN,,,1,0,0,0.0714285714285714,0.1700395555216734
2,27,2019-12-10,2,CN,,,1,0,0,0.0714285714285714,0.1794602264389271
3,30,2019-12-11,3,CN,,,4,0,0,0.2857142857142856,0.188128674831935
4,33,2019-12-12,4,CN,,,4,0,0,0.2857142857142856,0.1958253754440373
5,36,2019-12-13,5,CN,,,4,0,0,0.2857142857142856,0.20234134963798284
6,39,2019-12-14,6,CN,,,4,0,0,0.2857142857142856,0.2074893455579763
7,42,2019-12-15,7,CN,,,6,0,0,0.4285714285714288,0.21111472844500426
8,45,2019-12-16,8,CN,,,6,0,0,0.4285714285714288,0.21310505488704243
9,48,2019-12-17,9,CN,,,7,0,0,0.5,0.21339734852210368
10,51,2019-12-18,10,CN,,,8,0,0,0.5714285714285712,0.21198228650609555
11,54,2019-12-19,11,CN,,,9,0,0,0.6428571428571423,0.20890482594944126
12,57,2019-12-20,12,CN,,,14,0,0,1.0,0.20426119892488218
13,60,2019-12-21,13,CN,,,18,0,0,1.2857142857142847,0.1981926162989495
14,63,2019-12-22,14,CN,,,21,0,0,1.5,0.19087637435697916
15,66,2019-12-23,15,CN,,,29,0,0,2.0714285714285694,0.18251529752034945
16,69,2019-12-24,16,CN,,,30,0,0,2.1428571428571423,0.1733265450386945
17,72,2019-12-25,17,CN,,,33,0,0,2.3571428571428577,0.16353075968979
18,75,2019-12-26,18,CN,,,35,0,0,2.5,0.15334236939335366
19,78,2019-12-27,19,CN,,,37,0,0,2.642857142857146,0.14296161229145998
20,81,2019-12-28,20,CN,,,37,0,0,2.642857142857146,0.13256859095899776
21,84,2019-12-29,21,CN,,,37,0,0,2.642857142857146,0.12231941455705973
22,87,2019-12-30,22,CN,,,37,0,0,2.642857142857146,0.11234428857852867
23,90,2019-12-31,23,CN,,,40,0,0,2.857142857142854,0.10274727489309703
24,93,2020-01-01,24,CN,,,43,0,0,3.0714285714285694,0.0936073711262497
25,96,2020-01-02,25,CN,,,44,0,0,3.142857142857146,0.08498053942958143
26,99,2020-01-03,26,CN,,,41,0,0,2.9285714285714306,0.07690233670837365
27,102,2020-01-04,27,CN,,,41,0,0,2.9285714285714306,0.06939084643439568
28,105,2020-01-05,28,CN,,,41,0,0,2.9285714285714306,0.062449672868493046
29,108,2020-01-06,29,CN,,,41,0,0,2.9285714285714306,0.0560708214027215
30,111,2020-01-07,30,CN,,,41,0,0,2.9285714285714306,0.05023734673901328
31,114,2020-01-08,31,CN,,,41,0,0,2.9285714285714306,0.04492569976899015
32,117,2020-01-09,32,CN,,,41,0,0,2.9285714285714306,0.040107742758794536
33,120,2020-01-10,33,CN,,,38,0,3,2.7142857142857153,0.035752430910800666
34,123,2020-01-11,34,CN,,,34,0,7,2.428571428571427,0.031827177715052404
35,126,2020-01-12,35,CN,,,33,0,8,2.3571428571428577,0.028298933335387237
36,129,2020-01-13,36,CN,,,33,0,8,2.3571428571428577,0.025135011319270772
37,132,2020-01-14,37,CN,,,33,0,8,2.3571428571428577,0.022303700772927083
38,135,2020-01-15,38,CN,,,27,0,14,1.928571428571427,0.019774700161262353
39,138,2020-01-16,39,CN,,,28,0,17,2.0,0.017519406154242773
40,143,2020-01-17,40,CN,,,41,0,21,2.9285714285714306,0.015511087257905462
41,146,2020-01-18,41,CN,,,171,0,27,12.214285714285722,0.01372496791450154
42,149,2020-01-19,42,CN,,,246,0,29,17.571428571428555,0.012138244717019537
43,154,2020-01-20,43,CN,,,260,54,31,10.857142857142833,0.010730052596438507
44,173,2020-01-21,44,CN,,,406,37,34,23.714285714285722,0.009481395436147016
45,220,2020-01-22,45,CN,,,529,393,42,-18.357142857142776,0.008375052602991175
46,308,2020-01-23,46,CN,,,771,1072,59,-98.07142857142856,0.00739547036513074
47,460,2020-01-24,47,CN,,,1208,1965,79,-194.42857142857156,0.006528645069835546
48,661,2020-01-25,48,CN,,,1870,2684,105,-249.85714285714312,0.005762003239439229
49,890,2020-01-26,49,CN,,,2613,5794,131,-641.0714285714284,0.005084282363385085
50,1164,2020-01-27,50,CN,,,4349,6973,166,-685.5,0.004485415069757855
51,1452,2020-01-28,51,CN,,,5739,9239,235,-909.9285714285716,0.003956418504263062
