,index,date,Days,countryCode,province,city,I,E,R,est_beta,err
0,21,2019/12/8,0,CN,,,1,0,0,0.160086196,0
1,24,2019/12/9,1,CN,,,1,0,0,0.170039556,0.071428571
2,27,2019/12/10,2,CN,,,1,0,0,0.179460226,0.071428571
3,30,2019/12/11,3,CN,,,4,0,0,0.188128675,0.285714286
4,33,2019/12/12,4,CN,,,4,0,0,0.195825375,0.285714286
5,36,2019/12/13,5,CN,,,4,0,0,0.20234135,0.285714286
6,39,2019/12/14,6,CN,,,4,0,0,0.207489346,0.285714286
7,42,2019/12/15,7,CN,,,6,0,0,0.211114728,0.428571429
8,45,2019/12/16,8,CN,,,6,0,0,0.213105055,0.428571429
9,48,2019/12/17,9,CN,,,7,0,0,0.213397349,0.5
10,51,2019/12/18,10,CN,,,8,0,0,0.211982287,0.571428571
11,54,2019/12/19,11,CN,,,9,0,0,0.208904826,0.642857143
12,57,2019/12/20,12,CN,,,14,0,0,0.204261199,1
13,60,2019/12/21,13,CN,,,18,0,0,0.198192616,1.285714286
14,63,2019/12/22,14,CN,,,21,0,0,0.190876374,1.5
15,66,2019/12/23,15,CN,,,29,0,0,0.182515298,2.071428571
16,69,2019/12/24,16,CN,,,30,0,0,0.173326545,2.142857143
17,72,2019/12/25,17,CN,,,33,0,0,0.16353076,2.357142857
18,75,2019/12/26,18,CN,,,35,0,0,0.153342369,2.5
19,78,2019/12/27,19,CN,,,37,0,0,0.142961612,2.642857143
20,81,2019/12/28,20,CN,,,37,0,0,0.132568591,2.642857143
21,84,2019/12/29,21,CN,,,37,0,0,0.122319415,2.642857143
22,87,2019/12/30,22,CN,,,37,0,0,0.112344289,2.642857143
23,90,2019/12/31,23,CN,,,40,0,0,0.102747275,2.857142857
24,93,2020/1/1,24,CN,,,43,0,0,0.093607371,3.071428571
25,96,2020/1/2,25,CN,,,44,0,0,0.084980539,3.142857143
26,99,2020/1/3,26,CN,,,41,0,0,0.076902337,2.928571429
27,102,2020/1/4,27,CN,,,41,0,0,0.069390846,2.928571429
28,105,2020/1/5,28,CN,,,41,0,0,0.062449673,2.928571429
29,108,2020/1/6,29,CN,,,41,0,0,0.056070821,2.928571429
30,111,2020/1/7,30,CN,,,41,0,0,0.050237347,2.928571429
31,114,2020/1/8,31,CN,,,41,0,0,0.0449257,2.928571429
32,117,2020/1/9,32,CN,,,41,0,0,0.040107743,2.928571429
33,120,2020/1/10,33,CN,,,38,0,3,0.035752431,2.714285714
34,123,2020/1/11,34,CN,,,34,0,7,0.031827178,2.428571429
35,126,2020/1/12,35,CN,,,33,0,8,0.028298933,2.357142857
36,129,2020/1/13,36,CN,,,33,0,8,0.025135011,2.357142857
37,132,2020/1/14,37,CN,,,33,0,8,0.022303701,2.357142857
38,135,2020/1/15,38,CN,,,27,0,14,0.0197747,1.928571429
39,138,2020/1/16,39,CN,,,28,0,17,0.017519406,2
40,143,2020/1/17,40,CN,,,41,0,21,0.015511087,2.928571429
41,146,2020/1/18,41,CN,,,171,0,27,0.013724968,12.21428571
42,149,2020/1/19,42,CN,,,246,0,29,0.012138245,17.57142857
43,154,2020/1/20,43,CN,,,260,54,31,0.010730053,10.85714286
44,173,2020/1/21,44,CN,,,406,37,34,0.009481395,23.71428571
45,220,2020/1/22,45,CN,,,529,393,42,0.008375053,-18.35714286
46,308,2020/1/23,46,CN,,,771,1072,59,0.00739547,-98.07142857
47,460,2020/1/24,47,CN,,,1208,1965,79,0.006528645,-194.4285714
48,661,2020/1/25,48,CN,,,1870,2684,105,0.005762003,-249.8571429
49,890,2020/1/26,49,CN,,,2613,5794,131,0.005084282,-641.0714286
50,1164,2020/1/27,50,CN,,,4349,6973,166,0.004485415,-685.5
51,1452,2020/1/28,51,CN,,,5739,9239,235,0.003956419,-909.9285714
52,1760,2020/1/29,52,CN,,,7417,12167,294,0.00348929,-1208.357143
53,2077,2020/1/30,53,CN,,,9308,15238,384,0.00307691,-1512
54,2399,2020/1/31,54,CN,,,11289,17988,502,0.002712953,-1763.357143
55,2728,2020/2/1,55,CN,,,13748,19544,632,0.002391802,-1810
56,3060,2020/2/2,56,CN,,,16369,21558,836,0.002108478,-1910.5
57,3392,2020/2/3,57,CN,,,19381,23214,1057,0.001858568,-1931.928571
58,3724,2020/2/4,58,CN,,,22942,23260,1382,0.001638165,-1684.142857
59,4042,2020/2/5,59,CN,,,26302,24702,1716,0.001443809,-1650.142857
60,4365,2020/2/6,60,CN,,,28985,26359,2176,0.001272443,-1695.214286
61,4711,2020/2/7,61,CN,,,31819,27657,2775,0.001121362,-1678.214286
62,5056,2020/2/8,62,CN,,,33699,28942,3463,0.000988178,-1727.5
63,5401,2020/2/9,63,CN,,,36032,23589,4192,0.00087078,-796.1428571
64,5746,2020/2/10,64,CN,,,37693,21675,5015,0.000767304,-404.0714286
65,6091,2020/2/11,65,CN,,,38874,16067,5856,0.000676105,481.4285714
66,6436,2020/2/12,66,CN,,,51933,13435,6906,0.00059573,1790.214286
67,6781,2020/2/13,67,CN,,,55823,10109,8109,0.000524898,2543.214286
68,7126,2020/2/14,68,CN,,,56950,8969,9625,0.000462479,2786.571429
69,7471,2020/2/15,69,CN,,,57493,8229,11091,0.000407475,2931.071429
,,,,,,,57493,32916,11091,0.000407475,
,,,,,,,58088.64286,28234.35018,15197.64286,0.000407475,
,,,,,,,57972.93268,24219.241,19346.83163,0.000407475,
,,,,,,,57291.90049,20775.5012,23487.7554,0.000407475,
,,,,,,,56167.55062,17821.63534,27580.034,0.000407475,
,,,,,,,54701.53063,15287.83387,31592.0019,0.000407475,
,,,,,,,52978.25471,13114.27938,35499.25409,0.000407475,
