Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,err,est_beta
0,24870886,3,6,0,0,0.214034048
1,24870853.47,22.38243246,18,1.142857143,-2,0.220330937
2,24870875.38,3.618801883,14.85714286,1.142857143,1.142857143,0.226175263
3,24870854.59,7.408132139,29.71428571,3.285714286,2.285714286,0.231504437
4,24870845.55,9.450349219,37.14285714,2.857142857,2.857142857,0.23625911
5,24870829.74,12.25958369,47.35714286,5.642857143,3.642857143,0.240384506
6,24870813.88,15.1175251,57.57142857,8.428571429,4.428571429,0.243831697
7,24870796.51,18.49185076,69.64285714,10.35714286,5.357142857,0.246558803
8,24870771.88,22.11926273,82.64285714,18.35714286,6.357142857,0.248532051
9,24870736.53,30.46649445,113.2857143,14.71428571,8.714285714,0.24972665
10,24870706.23,35.76800464,132.7857143,20.21428571,10.21428571,0.250127445
11,24870676.55,41.45477376,154.1428571,22.85714286,11.85714286,0.24972933
12,24870656.77,45.23345177,169,24,13,0.248537378
13,24870638.43,48.57323542,182.9285714,25.07142857,14.07142857,0.246566709
14,24870608.36,53.64475567,204.2857143,28.71428571,15.71428571,0.243842083
15,24870583.55,57.45435475,221.9285714,32.07142857,17.07142857,0.240397245
16,24870402.59,199.6993039,249.3571429,43.35714286,-6.357142857,0.236274049
17,24870556.12,57.87969593,232.1428571,48.85714286,17.85714286,0.2315214
18,24870546.45,56.54785074,232.1428571,59.85714286,17.85714286,0.226194059
19,24870544.91,55.08718639,232.1428571,62.85714286,17.85714286,0.220351359
20,24870538.84,54.15548081,234.9285714,67.07142857,18.07142857,0.214055883
21,24870536.74,52.2571373,234,72,18,0.207372144
22,24870533.31,50.69179238,234.9285714,76.07142857,18.07142857,0.200365321
23,24870527.76,49.23989108,236.7857143,81.21428571,18.21428571,0.193100081
24,24870534.86,42.13963059,210.7857143,107.2142857,16.21428571,0.185639513
25,24870533.21,35.78641579,186.6428571,139.3571429,14.35714286,0.178044203
26,24870531.63,32.37014717,176.4285714,154.5714286,13.57142857,0.170371463
27,24870534.18,27.81700249,158.7857143,174.2142857,12.21428571,0.162674707
28,24870539.52,22.4751333,134.6428571,198.3571429,10.35714286,0.155002995
29,24870540.77,21.22541865,133.7142857,199.2857143,10.28571429,0.147400714
30,24870544.07,16.92856931,112.3571429,221.6428571,8.642857143,0.13990741
31,24870545.09,15.90671417,111.4285714,222.5714286,8.571428571,0.132557732
32,24870549.59,10.40652318,77.07142857,257.9285714,5.928571429,0.125381486
33,24870550.88,9.116968861,71.5,263.5,5.5,0.118403788
34,24870552.85,7.145201228,59.42857143,275.5714286,4.571428571,0.111645273
35,24870552.59,6.412378159,56.64285714,279.3571429,4.357142857,0.105122374
36,24870551.87,6.128469983,57.57142857,279.4285714,4.428571429,0.098847629
37,24870552.89,5.105582239,51.07142857,285.9285714,3.928571429,0.092830026
38,24870553.21,4.78907906,51.07142857,285.9285714,3.928571429,0.087075345
39,24870554.41,3.589758136,40.85714286,296.1428571,3.142857143,0.081586518
40,24870554.79,3.2072435,39,298,3,0.076363975
41,24870553.93,3.070415455,39.92857143,298.0714286,3.071428571,0.071405981
42,24870554.53,2.468197634,34.35714286,303.6428571,2.642857143,0.066708951
43,24870553.95,2.054807707,30.64285714,308.3571429,2.357142857,0.062267749
44,24870554.26,1.742255131,27.85714286,311.1428571,2.142857143,0.058075963
45,24870551.59,1.407260554,24.14285714,317.8571429,1.857142857,0.05412615
46,24870551.74,1.260234309,23.21428571,318.7857143,1.785714286,0.050410066
47,24870551.87,1.12603708,22.28571429,319.7142857,1.714285714,0.046918857
48,24870552.13,0.872852838,18.57142857,323.4285714,1.428571429,0.043643242
49,24870550.15,0.852035103,19.5,324.5,1.5,0.040573661
50,24870550.25,0.753997736,18.57142857,325.4285714,1.428571429,0.037700408
51,24870548.23,0.770291595,20.42857143,325.5714286,1.571428571,0.035013741
52,24870544.25,0.747580983,21.35714286,328.6428571,1.642857143,0.032503978
53,24870541.22,0.784189779,24.14285714,328.8571429,1.857142857,0.030161573
54,24870539.22,0.783349875,26,329,2,0.027977181
55,24870536.22,0.778239937,27.85714286,330.1428571,2.142857143,0.025941705
56,24870533.21,0.793517714,30.64285714,330.3571429,2.357142857,0.02404634
57,24870531.24,0.757597425,31.57142857,331.4285714,2.428571429,0.022282602
58,24870523.13,0.866965635,39,332,3,0.020642347
59,24870514.03,0.974992148,47.35714286,332.6428571,3.642857143,0.019117785
60,24870499.9,1.097475182,57.57142857,336.4285714,4.428571429,0.017701493
61,24870489.82,1.179802581,66.85714286,337.1428571,5.142857143,0.016386413
62,24870480.79,1.213248216,74.28571429,338.7142857,5.714285714,0.015165855
63,24870441.62,17.66097114,93.71428571,342,4.285714286,0.014033488
64,24870423.49,17.79175329,110.4285714,343.2857143,5.571428571,0.01298334
65,24870406.41,17.87097448,125.2857143,345.4285714,6.714285714,0.012009782
66,24870389.38,17.90737935,138.2857143,349.4285714,7.714285714,0.01110752
67,24870382.43,17.85723424,144.7857143,349.9285714,8.214285714,0.010271583
68,24870376.49,17.79575522,150.3571429,350.3571429,8.642857143,0.00949731
69,24870365.54,17.74321901,156.8571429,354.8571429,9.142857143,0.008780335
70,24870358.63,17.65738598,159.6428571,359.0714286,9.357142857,0.008116575
71,24870352.7,17.58356905,163.3571429,361.3571429,9.642857143,0.007502214
72,24870348.77,17.51295045,167.0714286,361.6428571,9.928571429,0.00693369
73,24870348.93,17.35577345,157.7857143,370.9285714,9.214285714,0.00640768
74,24870344,17.28635643,159.6428571,374.0714286,9.357142857,0.00592109
75,24870339.2,17.08993878,139.2142857,399.5,7.785714286,0.005471037
76,24870337.28,17.0085399,135.5,405.2142857,7.5,0.005054838
77,24870332.39,16.89280034,123.4285714,422.2857143,6.571428571,0.004669998
78,24870323.45,16.83791921,121.5714286,433.1428571,6.428571429,0.0043142
79,24870320.5,16.78784917,119.7142857,438,6.285714286,0.003985289
80,24870320.6,16.69064432,104.8571429,452.8571429,5.142857143,0.003681267
81,24870268.45,16.83654534,153.1428571,456.5714286,8.857142857,0.003400277
82,24870257.48,16.80389981,155.9285714,464.7857143,9.071428571,0.003140599
83,24870257.56,16.72950013,144.7857143,475.9285714,8.214285714,0.002900635
84,24870253.61,16.67950352,139.2142857,485.5,7.785714286,0.002678907
85,24870247.66,16.62217549,129,501.7142857,7,0.002474044
86,24870247.75,16.53474822,103.9285714,526.7857143,5.071428571,0.002284774
87,24870247.77,16.51568989,103.9285714,526.7857143,5.071428571,0.002109923
88,24870240.78,16.50392934,106.7142857,531,5.285714286,0.0019484
89,24870237.8,16.48362077,104.8571429,535.8571429,5.142857143,0.001799197
90,24870237.82,16.46846149,104.8571429,535.8571429,5.142857143,0.001661382
91,24869955.84,257.2993285,137.5714286,544.2857143,-35.57142857,0.001534091
92,24869954.86,257.2859207,136.6428571,546.2142857,-35.64285714,0.001416524
93,24869953.87,257.2749545,136.6428571,547.2142857,-35.64285714,0.001307944
94,24869953.91,257.2310134,110.6428571,573.2142857,-37.64285714,0.001207666
95,24869952.91,257.2287135,114.3571429,570.5,-37.35714286,0.00111506
96,24869952.94,257.1984502,93,591.8571429,-39,0.001029539
97,24869950.96,257.1837299,82.78571429,604.0714286,-39.78571429,0.000950566
98,24869949.95,257.1902479,93,594.8571429,-39,0.000877639
99,24869947.97,257.1776987,82.78571429,607.0714286,-39.78571429,0.000810299
100,24869942.97,257.1772692,85.57142857,609.2857143,-39.57142857,0.000748117
101,24869942.97,257.1746282,85.57142857,609.2857143,-39.57142857,0.000690701
102,24869941.98,257.1626246,71.64285714,624.2142857,-40.64285714,0.000637686
103,24869939.98,257.1622846,73.5,624.3571429,-40.5,0.000588735
104,24869938.98,257.1591626,70.71428571,628.1428571,-40.71428571,0.000543537
105,24869938.98,257.1579108,70.71428571,628.1428571,-40.71428571,0.000501806
106,24869937.99,257.1567549,70.71428571,629.1428571,-40.71428571,0.000463276
107,24869937.99,257.1556877,70.71428571,629.1428571,-40.71428571,0.000427702
108,24869937.99,257.1523334,65.14285714,634.7142857,-41.14285714,0.000394858
109,24869935.99,257.1512411,64.21428571,637.6428571,-41.21428571,0.000364533
110,24869935.99,257.1505972,64.21428571,637.6428571,-41.21428571,0.000336536
111,24869935.99,257.1493813,62.35714286,639.5,-41.35714286,0.000310688
112,24869934.99,257.149167,63.28571429,639.5714286,-41.28571429,0.000286824
113,24869935,257.1468289,56.78571429,646.0714286,-41.78571429,0.000264793
114,24869935,257.1460349,54.92857143,647.9285714,-41.92857143,0.000244452
115,24869930,257.1469191,59.57142857,648.2857143,-41.57142857,0.000225674
116,24869930,257.1466071,59.57142857,648.2857143,-41.57142857,0.000208337
117,24869929,257.146319,59.57142857,649.2857143,-41.57142857,0.000192332
118,24869929,257.1458755,58.64285714,650.2142857,-41.64285714,0.000177555
119,24869929,257.1451519,55.85714286,653,-41.85714286,0.000163914
120,24869929,257.1449755,55.85714286,653,-41.85714286,0.00015132
121,24869928,257.1448128,55.85714286,654,-41.85714286,0.000139694
122,24869928,257.1445336,54.92857143,654.9285714,-41.92857143,0.000128961
123,24869927,257.1445238,55.85714286,655,-41.85714286,0.000119052
