Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,est_beta,err
0,24870443,19,98,335,0.104487743,0
1,24870410.03,31.25996583,110.4285714,343.2857143,0.129090815,5.571428571
2,24870387.17,37.11191317,125.2857143,345.4285714,0.157777323,6.714285714
3,24870363.21,44.07135348,138.2857143,349.4285714,0.190316454,7.714285714
4,24870349.43,50.85565474,144.7857143,349.9285714,0.225951966,8.214285714
5,24870336.14,58.14266837,150.3571429,350.3571429,0.263256756,8.642857143
6,24870317.19,66.09643847,156.8571429,354.8571429,0.300070974,9.142857143
7,24870303.62,72.6629797,159.6428571,359.0714286,0.333600463,9.357142857
8,24870291.59,78.69095546,163.3571429,361.3571429,0.360731784,9.642857143
9,24870283,83.28786493,167.0714286,361.6428571,0.378551519,9.928571429
10,24870285.71,80.57185353,157.7857143,370.9285714,0.384955377,9.214285714
11,24870280.93,80.36070266,159.6428571,374.0714286,0.379150328,9.357142857
12,24870286.81,69.47736965,139.2142857,399.5,0.361856071,7.785714286
13,24870290.08,64.20707622,135.5,405.2142857,0.335121924,7.5
14,24870293.76,55.52344793,123.4285714,422.2857143,0.301835541,6.571428571
15,24870290.07,50.21953391,121.5714286,433.1428571,0.265114052,6.428571429
16,24870292.3,44.98492253,119.7142857,438,0.227776751,6.285714286
17,24870299.88,37.40730369,104.8571429,452.8571429,0.192018881,5.142857143
18,24870243.19,42.09221902,153.1428571,456.5714286,0.159303422,8.857142857
19,24870236.48,37.80394138,155.9285714,464.7857143,0.130416838,9.071428571
20,24870241.84,32.44394607,144.7857143,475.9285714,0.105612063,8.214285714
21,24870241.54,28.74715419,139.2142857,485.5,0.084773885,7.785714286
22,24870238.81,25.47457285,129,501.7142857,0.067566894,7
23,24870242.16,22.12242203,103.9285714,526.7857143,0.053549171,5.071428571
24,24870243.39,20.8908456,103.9285714,526.7857143,0.04225001,5.071428571
25,24870237.28,20.00596967,106.7142857,531,0.033217439,5.285714286
26,24870235.14,19.15041886,104.8571429,535.8571429,0.026043457,5.142857143
27,24870235.76,18.5268387,104.8571429,535.8571429,0.020374397,5.142857143
28,24869954.38,258.765841,137.5714286,544.2857143,0.015912208,-35.57142857
29,24869953.75,258.3962948,136.6428571,546.2142857,0.012410743,-35.64285714
30,24869953.02,258.1194622,136.6428571,547.2142857,0.009669723,-35.64285714
31,24869953.45,257.6923793,110.6428571,573.2142857,0.007527986,-37.64285714
32,24869952.55,257.5938235,114.3571429,570.5,0.005856928,-37.35714286
33,24869952.75,257.388795,93,591.8571429,0.004554577,-39
34,24869950.85,257.2950915,82.78571429,604.0714286,0.003540468,-39.78571429
35,24869949.85,257.291424,93,594.8571429,0.002751342,-39
36,24869947.91,257.2347709,82.78571429,607.0714286,0.00213761,-39.78571429
37,24869942.92,257.2192365,85.57142857,609.2857143,0.001660484,-39.57142857
38,24869942.94,257.2021799,85.57142857,609.2857143,0.001289675,-39.57142857
39,24869941.97,257.1739045,71.64285714,624.2142857,0.001001565,-40.64285714
40,24869939.97,257.168522,73.5,624.3571429,0.000777753,-40.5
41,24869938.98,257.1609739,70.71428571,628.1428571,0.000603915,-40.71428571
42,24869938.99,257.1569239,70.71428571,628.1428571,0.000468909,-40.71428571
43,24869937.99,257.1537788,70.71428571,629.1428571,0.000364069,-40.71428571
44,24869937.99,257.1513366,70.71428571,629.1428571,0.000282661,-40.71428571
45,24869937.99,257.1481238,65.14285714,634.7142857,0.000219451,-41.14285714
46,24869936,257.1467756,64.21428571,637.6428571,0.000170373,-41.21428571
47,24869936,257.1458992,64.21428571,637.6428571,0.000132269,-41.21428571
48,24869936,257.1450135,62.35714286,639.5,0.000102686,-41.35714286
49,24869935,257.1446109,63.28571429,639.5714286,7.97E-05,-41.28571429
50,24869935,257.1437854,56.78571429,646.0714286,6.19E-05,-41.78571429
51,24869935,257.1434817,54.92857143,647.9285714,4.80E-05,-41.92857143
52,24869930,257.1435285,59.57142857,648.2857143,3.73E-05,-41.57142857
53,24869930,257.1433783,59.57142857,648.2857143,2.90E-05,-41.57142857
54,24869929,257.1432617,59.57142857,649.2857143,2.25E-05,-41.57142857
55,24869929,257.1431538,58.64285714,650.2142857,1.75E-05,-41.64285714
56,24869929,257.1430468,55.85714286,653,1.35E-05,-41.85714286
57,24869929,257.1430044,55.85714286,653,1.05E-05,-41.85714286
58,24869928,257.1429714,55.85714286,654,8.16E-06,-41.85714286
59,24869928,257.1429395,54.92857143,654.9285714,6.34E-06,-41.92857143
60,24869927,257.142926,55.85714286,655,4.92E-06,-41.85714286
61,24869927,257.1428915,51.21428571,659.6428571,3.82E-06,-42.21428571
62,24869926,257.1428868,52.14285714,659.7142857,2.97E-06,-42.14285714
63,24869925,257.1428802,52.14285714,660.7142857,2.30E-06,-42.14285714
64,24869924,257.1428732,51.21428571,662.6428571,1.79E-06,-42.21428571
65,24869924,257.1428669,49.35714286,664.5,1.39E-06,-42.35714286
66,24869923,257.1428658,50.28571429,664.5714286,1.08E-06,-42.28571429
67,24869923,257.1428638,50.28571429,664.5714286,8.36E-07,-42.28571429
68,24869923,257.1428617,49.35714286,665.5,6.49E-07,-42.35714286
69,24869922,257.1428602,48.42857143,667.4285714,5.04E-07,-42.42857143
70,24869922,257.1428595,48.42857143,667.4285714,3.91E-07,-42.42857143
71,24869922,257.1428584,46.57142857,669.2857143,3.04E-07,-42.57142857
72,24869918,257.142859,50.28571429,669.5714286,2.36E-07,-42.28571429
73,24869918,257.1428586,50.28571429,669.5714286,1.83E-07,-42.28571429
74,24869918,257.142858,48.42857143,671.4285714,1.42E-07,-42.42857143
75,24869917,257.1428579,49.35714286,671.5,1.10E-07,-42.35714286
76,24869917,257.1428577,48.42857143,672.4285714,8.56E-08,-42.42857143
