Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,est_beta,err
0,1399999999,0,1,0,0.160088037,0
1,1400000000,0,0,0,0.170041204,0
2,1399999999,0.179461679,0.928571429,0.071428571,0.179461679,0.071428571
3,1399999996,0.564389822,2.785714286,0.214285714,0.188129941,0.214285714
4,1399999996,0.587479426,2.785714286,0.214285714,0.195826476,0.214285714
5,1399999995,0.809369263,3.714285714,0.285714286,0.202342316,0.285714286
6,1399999995,0.829960886,3.714285714,0.285714286,0.207490222,0.285714286
7,1399999993,1.266693395,5.571428571,0.428571429,0.211115567,0.428571429
8,1399999993,1.278635468,5.571428571,0.428571429,0.213105912,0.428571429
9,1399999994,1.066991416,4.642857143,0.357142857,0.213398284,0.357142857
10,1399999992,1.483883491,6.5,0.5,0.211983357,0.5
11,1399999992,1.462342569,6.5,0.5,0.208906082,0.5
12,1399999983,2.859677535,13,1,0.204262683,1
13,1399999980,3.369304048,15.78571429,1.214285714,0.198194358,1.214285714
14,1399999977,3.626689371,17.64285714,1.357142857,0.190878391,1.357142857
15,1399999966,5.293010032,26.92857143,2.071428571,0.182517591,2.071428571
16,1399999964,5.37320217,28.78571429,2.214285714,0.173329106,2.214285714
17,1399999962,5.396607582,30.64285714,2.357142857,0.163533567,2.357142857
18,1399999962,5.060397825,30.64285714,2.357142857,0.153345392,2.357142857
19,1399999959,5.146733152,33.42857143,2.571428571,0.142964813,2.571428571
20,1399999959,4.772589317,33.42857143,2.571428571,0.132571929,2.571428571
21,1399999958,4.52594518,34.35714286,2.642857143,0.122322846,2.642857143
22,1399999960,4.044519635,33.42857143,2.571428571,0.112347771,2.571428571
23,1399999957,4.007279785,36.21428571,2.785714286,0.102750767,2.785714286
24,1399999954,3.93165496,39,3,0.093610835,3
25,1399999951,3.824277304,41.78571429,3.214285714,0.084983943,3.214285714
26,1399999957,3.07622596,37.14285714,2.857142857,0.076905651,2.857142857
27,1399999956,2.845155916,38.07142857,2.928571429,0.069394049,2.928571429
28,1399999956,2.560562459,38.07142857,2.928571429,0.062452745,2.928571429
29,1399999958,2.2429499,37.14285714,2.857142857,0.056073749,2.857142857
30,1399999957,2.059844891,38.07142857,2.928571429,0.050240121,2.928571429
31,1399999958,1.797132525,37.14285714,2.857142857,0.044928314,2.857142857
32,1399999958,1.604407773,37.14285714,2.857142857,0.040110195,2.857142857
33,1399999959,1.322924673,34.35714286,5.642857143,0.035754722,2.642857143
34,1399999959,1.05036718,30.64285714,9.357142857,0.031829309,2.357142857
35,1399999959,0.90562909,29.71428571,10.28571429,0.02830091,2.285714286
36,1399999958,0.829515637,30.64285714,10.35714286,0.025136838,2.357142857
37,1399999959,0.713772286,29.71428571,10.28571429,0.022305385,2.285714286
38,1399999957,0.573511177,26.92857143,15.07142857,0.019776248,2.071428571
39,1399999955,0.490583107,26,19,0.017520826,2
40,1399999937,0.63600782,38.07142857,23.92857143,0.015512387,2.928571429
41,1399999801,2.347172129,158.7857143,38.21428571,0.013726155,12.21428571
42,1399999721,2.998413156,229.3571429,46.64285714,0.012139327,17.64285714
43,1399999653,49.07578343,249.1428571,48.57142857,0.010731038,10.85714286
44,1399999521,34.69746944,381.2142857,62.92857143,0.009482291,23.78571429
45,1399999033,341.2879728,547.3571429,78.78571429,0.008375866,-18.35714286
46,1399998095,923.6950722,868,113,0.007396208,-98
47,1399996741,1691.315963,1402.285714,165.2857143,0.006529313,-194.2857143
48,1399995331,2311.347469,2119.857143,237.5714286,0.005762607,-249.8571429
49,1399991451,4978.710063,3253,317.5714286,0.005084829,-641
50,1399988492,5996.366198,5034.5,476.6428571,0.004485908,-685.5
51,1399984765,7941.847094,6648,644.8571429,0.003956864,-910
52,1399980097,10453.88267,8625.214286,823.7857143,0.003489692,-1208.214286
53,1399975043,13088.92538,10818.92857,1048.785714,0.003077272,-1511.928571
54,1399970193,15448.05541,13051.28571,1307.285714,0.002713279,-1763.285714
55,1399966046,16784.0262,15556.92857,1612.928571,0.002392095,-1809.928571
56,1399961203,18512.80065,18278.57143,2005.142857,0.002108742,-1910.571429
57,1399956315,19932.87967,21311.85714,2440.285714,0.001858806,-1931.857143
58,1399952378,19973.87374,24626.92857,3020.785714,0.001638378,-1683.928571
59,1399947242,21211.12152,27952.14286,3594.714286,0.001444,-1650.142857
60,1399942443,22630.31506,30681.14286,4245.428571,0.001272615,-1695.142857
61,1399937715,23741.68283,33496.28571,5046.714286,0.001121517,-1678.285714
62,1399933864,24840.7313,35425.57143,5870,0.000988317,-1727.571429
63,1399936157,20250.52098,36827.21429,6765.642857,0.000870904,-796.2142857
64,1399935589,18606.63914,38096.92857,7707.357143,0.000767415,-403.9285714
65,1399939179,13797.99924,38391.64286,8631.642857,0.000676204,481.3571429
66,1399927697,11545.79762,50141.71429,10615.42857,0.000595819,1790.285714
67,1399925933,8693.303768,53278.71429,12095.28571,0.000524978,2543.285714
68,1399924433,7714.054188,54161.57143,13691.71429,0.00046255,2786.428571
69,1399923165,7076.85795,54561.92857,15196.64286,0.000407539,2931.071429
