date,Days,I,E,R
2020/1/22,0,6,3,0
2020/1/23,1,16,22,0
2020/1/24,2,16,0,0
2020/1/25,3,32,0,1
2020/1/26,4,40,0,0
2020/1/27,5,51,0,2
2020/1/28,6,62,0,4
2020/1/29,7,75,0,5
2020/1/30,8,89,0,12
2020/1/31,9,122,0,6
2020/2/1,10,143,0,10
2020/2/2,11,166,0,11
2020/2/3,12,182,0,11
2020/2/4,13,197,0,11
2020/2/5,14,220,0,13
2020/2/6,15,239,0,15
2020/2/7,16,243,166,26
2020/2/8,17,250,0,31
2020/2/9,18,250,0,42
2020/2/10,19,250,0,45
2020/2/11,20,253,0,49
2020/2/12,21,252,0,54
2020/2/13,22,253,0,58
2020/2/14,23,255,0,63
2020/2/15,24,227,0,91
2020/2/16,25,201,0,125
2020/2/17,26,190,0,141
2020/2/18,27,171,0,162
2020/2/19,28,145,0,188
2020/2/20,29,144,0,189
2020/2/21,30,121,0,213
2020/2/22,31,120,0,214
2020/2/23,32,83,0,252
2020/2/24,33,77,0,258
2020/2/25,34,64,0,271
2020/2/26,35,61,0,275
2020/2/27,36,62,0,275
2020/2/28,37,55,0,282
2020/2/29,38,55,0,282
2020/3/1,39,44,0,293
2020/3/2,40,42,0,295
2020/3/3,41,43,0,295
2020/3/4,42,37,0,301
2020/3/5,43,33,0,306
2020/3/6,44,30,0,309
2020/3/7,45,26,0,316
2020/3/8,46,25,0,317
2020/3/9,47,24,0,318
2020/3/10,48,20,0,322
2020/3/11,49,21,0,323
2020/3/12,50,20,0,324
2020/3/13,51,22,0,324
2020/3/14,52,23,0,327
2020/3/15,53,26,0,327
2020/3/16,54,28,0,327
2020/3/17,55,30,0,328
2020/3/18,56,33,0,328
2020/3/19,57,34,0,329
2020/3/20,58,42,0,329
2020/3/21,59,51,0,329
2020/3/22,60,62,0,332
2020/3/23,61,72,0,332
2020/3/24,62,80,0,333
2020/3/25,63,98,19,335
2020/3/26,64,116,19,335
2020/3/27,65,132,19,336
2020/3/28,66,146,19,339
2020/3/29,67,153,19,339
2020/3/30,68,159,19,339
2020/3/31,69,166,19,343
2020/4/1,70,169,19,347
2020/4/2,71,173,19,349
2020/4/3,72,177,19,349
2020/4/4,73,167,19,359
2020/4/5,74,169,19,362
2020/4/6,75,147,19,389
2020/4/7,76,143,19,395
2020/4/8,77,130,19,413
2020/4/9,78,128,19,424
2020/4/10,79,126,19,429
2020/4/11,80,110,19,445
2020/4/12,81,162,19,445
2020/4/13,82,165,19,453
2020/4/14,83,153,19,465
2020/4/15,84,147,19,475
2020/4/16,85,136,19,492
2020/4/17,86,109,19,519
2020/4/18,86,109,19,519
2020/4/19,88,112,19,523
2020/4/20,89,110,19,528
2020/4/21,89,110,19,528
2020/4/22,91,102,300,537
2020/4/23,92,101,300,539
2020/4/24,93,101,300,540
2020/4/25,94,73,300,568
2020/4/26,95,77,300,565
2020/4/27,96,54,300,588
2020/4/28,97,43,300,601
2020/4/29,98,54,300,591
2020/4/30,99,43,300,604
2020/5/1,100,46,300,606
2020/5/2,100,46,300,606
2020/5/3,102,31,300,622
2020/5/4,103,33,300,622
2020/5/5,104,30,300,626
2020/5/6,104,30,300,626
2020/5/7,106,30,300,627
2020/5/8,106,30,300,627
2020/5/9,108,24,300,633
2020/5/10,109,23,300,636
2020/5/11,109,23,300,636
2020/5/12,111,21,300,638
2020/5/13,112,22,300,638
2020/5/14,113,15,300,645
2020/5/15,114,13,300,647
2020/5/16,115,18,300,647
2020/5/17,115,18,300,647
2020/5/18,117,18,300,648
2020/5/19,118,17,300,649
2020/5/20,119,14,300,652
2020/5/21,119,14,300,652
2020/5/22,121,14,300,653
2020/5/23,122,13,300,654
2020/5/24,123,14,300,654
2020/5/25,124,9,300,659
2020/5/26,125,10,300,659
2020/5/27,126,10,300,660
2020/5/28,127,9,300,662
2020/5/29,128,7,300,664
2020/5/30,129,8,300,664
2020/5/31,129,8,300,664
