date,Days,I,E,R
2020/3/25,0,98,19,335
2020/3/26,1,116,19,335
2020/3/27,2,132,19,336
2020/3/28,3,146,19,339
2020/3/29,4,153,19,339
2020/3/30,5,159,19,339
2020/3/31,6,166,19,343
2020/4/1,7,169,19,347
2020/4/2,8,173,19,349
2020/4/3,9,177,19,349
2020/4/4,10,167,19,359
2020/4/5,11,169,19,362
2020/4/6,12,147,19,389
2020/4/7,13,143,19,395
2020/4/8,14,130,19,413
2020/4/9,15,128,19,424
2020/4/10,16,126,19,429
2020/4/11,17,110,19,445
2020/4/12,18,162,19,445
2020/4/13,19,165,19,453
2020/4/14,20,153,19,465
2020/4/15,21,147,19,475
2020/4/16,22,136,19,492
2020/4/17,23,109,19,519
2020/4/18,24,109,19,519
2020/4/19,25,112,19,523
2020/4/20,26,110,19,528
2020/4/21,27,110,19,528
2020/4/22,28,102,300,537
2020/4/23,29,101,300,539
2020/4/24,30,101,300,540
2020/4/25,31,73,300,568
2020/4/26,32,77,300,565
2020/4/27,33,54,300,588
2020/4/28,34,43,300,601
2020/4/29,35,54,300,591
2020/4/30,36,43,300,604
2020/5/1,37,46,300,606
2020/5/2,38,46,300,606
2020/5/3,39,31,300,622
2020/5/4,40,33,300,622
2020/5/5,41,30,300,626
2020/5/6,42,30,300,626
2020/5/7,43,30,300,627
2020/5/8,44,30,300,627
2020/5/9,45,24,300,633
2020/5/10,46,23,300,636
2020/5/11,47,23,300,636
2020/5/12,48,21,300,638
2020/5/13,49,22,300,638
2020/5/14,50,15,300,645
2020/5/15,51,13,300,647
2020/5/16,52,18,300,647
2020/5/17,53,18,300,647
2020/5/18,54,18,300,648
2020/5/19,55,17,300,649
2020/5/20,56,14,300,652
2020/5/21,57,14,300,652
2020/5/22,58,14,300,653
2020/5/23,59,13,300,654
2020/5/24,60,14,300,654
2020/5/25,61,9,300,659
2020/5/26,62,10,300,659
2020/5/27,63,10,300,660
2020/5/28,64,9,300,662
2020/5/29,65,7,300,664
2020/5/30,66,8,300,664
2020/5/31,67,8,300,664
2020/6/1,68,7,300,665
2020/6/2,69,6,300,667
2020/6/3,70,6,300,667
2020/6/4,71,4,300,669
2020/6/5,72,8,300,669
2020/6/6,73,8,300,669
2020/6/7,74,6,300,671
2020/6/8,75,7,300,671
2020/6/9,76,6,300,672
2020/6/10,77,6,300,672
2020/6/11,78,12,300,672
2020/6/12,79,16,300,673
2020/6/13,80,17,300,673
2020/6/14,81,18,300,673
2020/6/15,82,18,300,674
2020/6/16,83,21,300,674
2020/6/17,84,20,300,675
2020/6/18,85,22,300,675
2020/6/19,86,22,300,675
2020/6/20,87,23,300,675
2020/6/21,88,23,300,675
2020/6/22,89,26,300,675
2020/6/23,90,26,300,675
2020/6/24,91,27,300,676
2020/6/25,92,24,300,679
2020/6/26,93,26,300,679
2020/6/27,94,25,300,681
2020/6/28,95,25,300,682
2020/6/29,96,26,300,682
2020/6/30,97,30,300,682
2020/7/1,98,28,300,684
2020/7/2,99,29,300,684
2020/7/3,100,29,300,685
2020/7/4,101,27,300,688
2020/7/5,102,28,300,688
2020/7/6,103,24,300,692
2020/7/7,104,26,300,692
2020/7/8,105,26,300,692
2020/7/9,106,22,300,696
2020/7/10,107,22,300,696
