,Time,Estimated_Susceptible,Estimated_Exposed,Estimated_Infected,Estimated_Resistant,est_beta,err,est_beta
0,0.0,24866710.0,393.0,263.0,3529.0,0.054170834635209754,0.0,0.054170834635209754
1,1.0,24866681.824335214,386.10423621442897,262.07142857142856,3565.0,0.08145859444195769,-2.071428571428555,0.08145859444195769
2,2.0,24866666.87910708,394.0494643490271,253.97142857142856,3580.1,0.1160390848040217,-2.971428571428561,0.1160390848040217
3,3.0,24866646.955748048,401.97282337917943,245.87142857142857,3600.2,0.15310134354153523,-3.8714285714285666,0.15310134354153523
4,4.0,24866633.2601422,407.66842923069214,238.67142857142855,3615.4,0.18267995406930201,-4.6714285714285495,0.18267995406930201
5,5.0,24866615.54877128,410.3798001477626,239.57142857142856,3629.5,0.19344241538362975,-4.571428571428555,0.19344241538362975
6,6.0,24866610.480238568,406.44833286212736,235.07142857142856,3643.0,0.1805515041553956,-5.071428571428555,0.1805515041553956
7,7.0,24866611.508363772,397.420207657382,223.37142857142857,3662.7,0.14975663933505867,-6.371428571428567,0.14975663933505867
8,8.0,24866609.489010405,387.4395610233665,208.07142857142856,3690.0,0.11257424378143373,-8.071428571428555,0.11257424378143373
9,9.0,24866609.448733333,380.4798380950402,206.27142857142854,3698.8,0.07855523772431869,-8.271428571428544,0.07855523772431869
10,10.0,24866605.804336537,375.1242348929206,204.47142857142856,3709.6,0.0520276424221024,-8.47142857142856,0.0520276424221024
11,11.0,24866601.810636234,371.1179351957681,195.47142857142856,3726.6,0.03328188608983256,-9.47142857142856,0.03328188608983256
12,12.0,24866598.273684062,368.65488736507075,189.17142857142855,3738.9,0.020821001408674742,-10.17142857142855,0.020821001408674742
13,13.0,24866586.675496392,367.25307503543786,190.97142857142856,3750.1,0.01284478523422279,-9.97142857142856,0.01284478523422279
14,14.0,24866578.65685125,366.2717201785274,181.97142857142856,3768.1,0.007856034042603908,-10.97142857142856,0.007856034042603908
15,15.0,24866566.197178718,365.7313927122826,179.27142857142854,3783.8,0.004779529844742031,-11.271428571428544,0.004779529844742031
16,16.0,24866548.492854748,365.4357166813904,185.57142857142856,3795.5,0.00289847936050462,-10.571428571428555,0.00289847936050462
17,17.0,24866525.675508484,365.2530629450789,194.57142857142856,3809.5,0.0017543163731486432,-9.571428571428555,0.0017543163731486432
18,18.0,24866498.77838345,365.15018797828293,216.17142857142855,3814.9,0.0010605537223881082,-7.1714285714285495,0.0010605537223881082
19,19.0,24866466.850105457,365.07846597198136,238.67142857142855,3824.4,0.0006406890397495531,-4.6714285714285495,0.0006406890397495531
20,20.0,24866417.894401193,365.0341702355592,273.77142857142854,3838.3,0.00038687845864378154,-0.7714285714285438,0.00038687845864378154
