,date,countryEnglishName,provinceEnglishName,province_confirmedCount,E,R,I,Days
0,2022/2/3,China,Shanghai,3792,393,3529,263,2
1,2022/2/4,China,Shanghai,3799,393,3539,260,3
2,2022/2/5,China,Shanghai,3806,393,3555,251,4
3,2022/2/6,China,Shanghai,3818,393,3576,242,5
4,2022/2/7,China,Shanghai,3826,393,3592,234,6
5,2022/2/8,China,Shanghai,3841,393,3606,235,7
6,2022/2/9,China,Shanghai,3850,393,3620,230,8
7,2022/2/10,China,Shanghai,3858,393,3641,217,9
8,2022/2/11,China,Shanghai,3870,393,3670,200,10
9,2022/2/12,China,Shanghai,3877,393,3679,198,11
10,2022/2/13,China,Shanghai,3886,393,3690,196,12
11,2022/2/14,China,Shanghai,3894,393,3708,186,13
12,2022/2/15,China,Shanghai,3900,393,3721,179,14
13,2022/2/16,China,Shanghai,3913,393,3732,181,15
14,2022/2/17,China,Shanghai,3922,393,3751,171,16
15,2022/2/18,China,Shanghai,3935,393,3767,168,17
16,2022/2/19,China,Shanghai,3953,393,3778,175,18
17,2022/2/20,China,Shanghai,3976,393,3791,185,19
18,2022/2/21,China,Shanghai,4003,393,3794,209,20
19,2022/2/22,China,Shanghai,4035,393,3801,234,21
20,2022/2/23,China,Shanghai,4084,393,3811,273,22
21,2022/2/24,China,Shanghai,4108,393,3819,289,23
22,2022/2/25,China,Shanghai,4167,393,3827,340,24
23,2022/2/26,China,Shanghai,4222,393,3837,385,25
24,2022/2/27,China,Shanghai,4265,393,3848,417,26
25,2022/2/28,China,Shanghai,4310,393,3858,452,27
26,2022/3/1,China,Shanghai,4351,393,3870,481,28
27,2022/3/2,China,Shanghai,4388,393,3878,510,29
28,2022/3/3,China,Shanghai,4432,393,3886,546,30
29,2022/3/4,China,Shanghai,4475,393,3895,580,31
30,2022/3/5,China,Shanghai,4502,393,3907,595,32
31,2022/3/6,China,Shanghai,4527,393,3915,612,33
32,2022/3/7,China,Shanghai,4566,393,3980,586,34
33,2022/3/8,China,Shanghai,4602,393,4007,595,35
34,2022/3/9,China,Shanghai,4631,393,4039,592,36
35,2022/3/10,China,Shanghai,4677,393,4039,638,37
36,2022/3/11,China,Shanghai,4720,393,4074,646,38
37,2022/3/12,China,Shanghai,4747,393,4074,673,39
38,2022/3/13,China,Shanghai,4761,393,4120,641,40
39,2022/3/14,China,Shanghai,4818,393,4120,698,41
