datetime,temperature,pressure,windspeed,electricity_consumption
2013/7/1 0:00,-11.4,1003,571.91,216
2013/7/1 1:00,-12.1,996,575.04,210
2013/7/1 2:00,-12.9,1000,578.435,225
2013/7/1 3:00,-11.4,995,582.58,216
2013/7/1 4:00,-11.4,1005,586.6,222
2013/7/1 5:00,-10.7,1013,2.79,216
2013/7/1 6:00,-13.6,1006,4.38,219
2013/7/1 7:00,-11.4,997,7.635,222
2013/7/1 8:00,-10.7,1012,12.055,219
2013/7/1 9:00,-10,1002,17.975,222
2013/7/1 10:00,-7.1,1008,23.035,201
2013/7/1 11:00,-7.9,1003,28.205,204
2013/7/1 12:00,-5.7,998,31.725,210
2013/7/1 13:00,-6.4,1008,35.62,216
2013/7/1 14:00,-3.6,999,40.915,216
2013/7/1 15:00,-5,997,44.56,216
2013/7/1 16:00,-4.3,1009,48.44,213
2013/7/1 17:00,-7.1,1003,50.355,198
2013/7/1 18:00,-7.1,1007,53.235,198
2013/7/1 19:00,-6.4,996,56.365,213
2013/7/1 20:00,-7.9,997,59.87,216
2013/7/1 21:00,-6.4,996,63.515,222
2013/7/1 22:00,-9.3,1015,67.41,210
2013/7/1 23:00,-10,1012,72.08,216
2013/7/2 0:00,-8.6,1003,76.35,210
2013/7/2 1:00,-7.9,1011,5.77,231
2013/7/2 2:00,-8.6,1000,10.065,210
2013/7/2 3:00,-10.7,997,5.52,213
2013/7/2 4:00,-10.7,1016,4.77,204
2013/7/2 5:00,-8.6,1015,9.665,222
2013/7/2 6:00,-8.6,1015,6.17,210
2013/7/2 7:00,-10,1003,5.27,210
2013/7/2 8:00,-10,1017,10.44,198
2013/7/2 9:00,-7.9,1011,14.335,204
2013/7/2 10:00,-7.1,1005,18.23,225
2013/7/2 11:00,-7.1,1009,22.625,213
2013/7/2 12:00,-7.1,1016,25.005,204
2013/7/2 13:00,-3.6,1001,2.415,237
2013/7/2 14:00,-5,1005,4.305,210
2013/7/2 15:00,-5.7,1011,5.195,234
2013/7/2 16:00,-3.6,1010,5.835,243
2013/7/2 17:00,-5,999,6.225,234
2013/7/2 18:00,-5.7,1011,2.54,240
2013/7/2 19:00,-7.9,996,1.64,276
2013/7/2 20:00,-7.1,1007,1.765,264
2013/7/2 21:00,-7.9,995,2.39,270
2013/7/2 22:00,-8.6,1005,3.405,282
2013/7/2 23:00,-8.6,995,4.545,258
2013/7/3 0:00,-7.9,1011,2.14,249
2013/7/3 1:00,-8.6,1002,3.28,270
2013/7/3 2:00,-10,996,4.295,288
2013/7/3 3:00,-8.6,1002,4.435,348
2013/7/3 4:00,-10.7,1004,1.515,396
2013/7/3 5:00,-10.7,1005,1.64,414
2013/7/3 6:00,-10.7,995,2.765,381
2013/7/3 7:00,-9.3,999,2.015,411
2013/7/3 8:00,-10,999,4.555,381
2013/7/3 9:00,-10,995,1.765,324
2013/7/3 10:00,-7.1,994,2.14,327
2013/7/3 11:00,-5.7,994,2.39,300
2013/7/3 12:00,-5,1009,1.765,312
2013/7/3 13:00,-5.7,1006,2.655,333
2013/7/3 14:00,-3.6,1004,4.295,372
2013/7/3 15:00,-5,995,3.29,417
2013/7/3 16:00,-5,999,2.14,423
2013/7/3 17:00,-7.1,989,2.965,414
2013/7/3 18:00,-7.1,1008,2.015,396
2013/7/3 19:00,-7.1,996,3.405,486
2013/7/3 20:00,-9.3,1000,3.92,519
2013/7/3 21:00,-10,1001,2.2,447
2013/7/3 22:00,-9.3,998,2.59,474
2013/7/3 23:00,-10.7,1009,2.79,459
2013/7/4 0:00,-12.1,993,3.43,462
2013/7/4 1:00,-10.7,998,1.45,504
2013/7/4 2:00,-11.4,996,4.755,384
2013/7/4 3:00,-9.3,994,6.045,342
2013/7/4 4:00,-12.9,993,6.935,276
2013/7/4 5:00,-12.1,997,8.975,261
2013/7/4 6:00,-12.1,997,11.14,273
2013/7/4 7:00,-10.7,1000,2.39,279
2013/7/4 8:00,-12.9,1001,3.165,240
2013/7/4 9:00,-10,996,2.915,273
2013/7/4 10:00,-7.9,995,2.39,276
2013/7/4 11:00,-7.1,998,2.53,312
2013/7/4 12:00,-6.4,996,3.67,294
2013/7/4 13:00,-4.3,1005,5.435,288
2013/7/4 14:00,-3.6,993,5.005,300
2013/7/4 15:00,-2.9,1000,10.815,303
2013/7/4 16:00,-3.6,987,14.86,255
2013/7/4 17:00,-4.3,1004,22.635,279
2013/7/4 18:00,-2.9,986,29.935,270
2013/7/4 19:00,-4.3,1002,36.96,252
2013/7/4 20:00,-6.4,993,45.11,273
2013/7/4 21:00,-4.3,994,52.66,231
2013/7/4 22:00,-6.4,1000,59.435,246
2013/7/4 23:00,-5.7,1008,68.235,231
2013/7/5 0:00,-8.6,993,77.425,228
2013/7/5 1:00,-6.4,997,86.255,210
2013/7/5 2:00,-7.9,991,95.96,213
2013/7/5 3:00,-7.9,991,105.9,213
2013/7/5 4:00,-7.9,1009,114.09,231
2013/7/5 5:00,-8.6,1001,124.795,225
2013/7/5 6:00,-10,996,130.82,210
2013/7/5 7:00,-10.7,1011,138.72,201
2013/7/5 8:00,-7.9,1005,147.285,213
2013/7/5 9:00,-10,1011,156.475,204
2013/7/5 10:00,-9.3,996,165.79,204
2013/7/5 11:00,-7.1,1004,174.355,204
2013/7/5 12:00,-7.9,1003,184.185,198
2013/7/5 13:00,-6.4,1003,193.5,210
2013/7/5 14:00,-5,993,201.675,186
2013/7/5 15:00,-4.3,993,210.615,192
2013/7/5 16:00,-6.4,992,219.32,207
2013/7/5 17:00,-5.7,1002,228.51,207
2013/7/5 18:00,-6.4,1010,236.435,180
2013/7/5 19:00,-7.1,1010,245.485,192
2013/7/5 20:00,-6.4,1005,253.3,192
2013/7/5 21:00,-6.4,1014,260.95,192
2013/7/5 22:00,-7.1,1002,268.1,231
2013/7/5 23:00,-8.6,1014,275.775,210
2013/7/6 0:00,-7.9,1012,283.825,210
2013/7/6 1:00,-7.9,1002,289.51,204
2013/7/6 2:00,-10,1005,296.445,213
2013/7/6 3:00,-8.6,1012,303.995,204
2013/7/6 4:00,-9.3,1017,309.165,207
2013/7/6 5:00,-10.7,1007,314.085,186
2013/7/6 6:00,-9.3,1001,319.005,186
2013/7/6 7:00,-9.3,1011,322.775,207
2013/7/6 8:00,-10,1017,327.17,192
2013/7/6 9:00,-7.1,1009,334.195,195
2013/7/6 10:00,-7.1,1013,343.135,186
2013/7/6 11:00,-5.7,1014,351.825,201
2013/7/6 12:00,-4.3,1014,360.89,192
2013/7/6 13:00,-4.3,1007,368.955,216
2013/7/6 14:00,-3.6,1013,379.02,204
2013/7/6 15:00,-4.3,1009,386.195,204
2013/7/6 16:00,-6.4,999,393.345,186
2013/7/6 17:00,-4.3,1006,401.37,222
2013/7/6 18:00,-5.7,1013,407.645,195
2013/7/6 19:00,-5,1011,414.455,201
2013/7/6 20:00,-6.4,1013,419.375,213
2013/7/6 21:00,-9.3,1002,423.42,198
2013/7/6 22:00,-7.9,998,426.175,231
2013/7/6 23:00,-9.3,1005,431.32,213
2013/7/7 0:00,-7.1,1010,434.45,201
2013/7/7 1:00,-8.6,1001,438.62,195
2013/7/7 2:00,-10,1003,443.015,201
2013/7/7 3:00,-10,1001,447.535,210
2013/7/7 4:00,-10,998,5.395,204
2013/7/7 5:00,-12.9,996,5.645,192
2013/7/7 6:00,-12.9,1010,9.025,213
2013/7/7 7:00,-11.4,1007,12.03,216
2013/7/7 8:00,-10,1003,15.16,228
2013/7/7 9:00,-7.1,996,19.055,225
2013/7/7 10:00,-7.9,1000,23.725,234
2013/7/7 11:00,-5.7,1008,26.605,231
2013/7/7 12:00,-5,998,28.02,240
2013/7/7 13:00,-5,996,2.515,261
2013/7/7 14:00,-3.6,1000,3.68,258
2013/7/7 15:00,-2.1,997,2.915,270
